id,isotime,latitude,longitude,depth,magnitude,relocated,startRms,finalRms,locChange,depthChange,timeChange,numNeighbours,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,dd_numTTp,dd_numTTs,dd_numCCp,dd_numCCs,dd_startResidualMedian,dd_startResidualMAD,dd_finalResidualMedian,dd_finalResidualMAD
1,2023-02-28T17:01:54.07061Z,46.510546184403,8.476166649111,-1.3982075108,-4.27,true,0.000,0.000,0.000,0.000,-0.000,33,12,0,0.012,0.025,0.044,302,0,0,0,-0.0003,0.0000,-0.0000,0.0000
2,2023-02-28T17:29:32.051511Z,46.510605465085,8.476229454496,-1.3935902837,-3.32,true,0.001,0.000,0.001,-0.000,-0.000,43,25,0,0.011,0.029,0.066,625,0,0,0,-0.0001,0.0000,0.0000,0.0000
3,2023-02-28T17:28:08.400239Z,46.510607030086,8.476225809762,-1.3943951234,-2.93,true,0.001,0.000,0.001,-0.001,-0.000,48,20,0,0.011,0.028,0.104,616,0,0,0,-0.0001,0.0001,0.0000,0.0000
4,2023-02-28T17:29:40.071834Z,46.510599953104,8.476226842396,-1.3946036238,-3.50,true,0.000,0.000,0.001,-0.000,-0.000,49,26,0,0.011,0.029,0.066,684,0,0,0,-0.0000,0.0000,0.0000,0.0000
5,2023-02-28T17:29:42.126886Z,46.510600036740,8.476224807963,-1.3943621252,-3.30,true,0.001,0.000,0.001,-0.000,-0.000,50,27,0,0.011,0.030,0.104,708,0,0,0,-0.0000,0.0000,0.0000,0.0000
6,2023-02-28T17:36:08.230594Z,46.510633424746,8.476258823091,-1.3953021546,-4.33,true,0.000,0.000,0.002,-0.000,-0.000,44,11,0,0.011,0.024,0.044,368,0,0,0,-0.0001,0.0000,0.0000,0.0000
7,2023-02-28T17:38:59.258871Z,46.510610662034,8.476216091468,-1.3922459828,-3.36,true,0.000,0.000,0.001,-0.000,-0.000,50,26,0,0.012,0.031,0.102,710,0,0,0,0.0001,0.0001,-0.0000,0.0000
8,2023-02-28T17:39:35.222899Z,46.510605132955,8.476207686319,-1.3925002093,-3.19,true,0.001,0.000,0.001,-0.000,-0.000,43,21,0,0.019,0.038,0.075,477,0,0,0,-0.0001,0.0001,0.0000,0.0000
9,2023-02-28T17:40:27.962471Z,46.510618602532,8.476246228584,-1.3928770029,-2.83,true,0.001,0.000,0.001,-0.000,-0.000,43,23,0,0.013,0.033,0.067,463,0,0,0,-0.0001,0.0001,0.0000,0.0000
10,2023-02-28T17:40:32.498001Z,46.510610130541,8.476215510124,-1.3922114443,-2.55,true,0.000,0.000,0.001,-0.000,-0.000,52,24,0,0.012,0.030,0.065,706,0,0,0,0.0001,0.0001,0.0000,0.0000
11,2023-02-28T17:41:07.530987Z,46.510578706994,8.476191850983,-1.3924141525,-4.20,true,0.000,0.000,0.001,0.000,-0.000,34,16,0,0.013,0.027,0.039,424,0,0,0,-0.0003,0.0001,-0.0000,0.0000
12,2023-02-28T17:41:53.463286Z,46.510608494334,8.476217823941,-1.3926385056,-4.18,true,0.000,0.000,0.001,-0.000,-0.000,37,16,0,0.013,0.027,0.042,440,0,0,0,-0.0000,0.0000,-0.0000,0.0000
13,2023-02-28T17:41:55.049551Z,46.510602624132,8.476206945678,-1.3929624313,-3.09,true,0.001,0.000,0.001,-0.000,-0.000,48,25,0,0.013,0.030,0.075,610,0,0,0,0.0002,0.0001,0.0000,0.0000
