id,isotime,latitude,longitude,depth,magnitude,relocated,startRms,finalRms,locChange,depthChange,timeChange,numNeighbours,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,dd_numTTp,dd_numTTs,dd_numCCp,dd_numCCs,dd_startResidualMedian,dd_startResidualMAD,dd_finalResidualMedian,dd_finalResidualMAD
1,2022-02-09T14:40:13.465134Z,46.510238529274,8.475545320630,-1.3315577995,-4.20,true,0.001,0.000,0.003,0.003,-0.000,30,4,0,0.020,0.027,0.033,118,0,0,0,-0.0003,0.0003,0.0000,0.0000
2,2022-02-09T14:54:38.379198Z,46.510469582810,8.475747718372,-1.3332244922,-4.45,true,0.000,0.000,0.018,0.017,-0.002,42,3,0,0.037,0.043,0.045,111,0,0,0,-0.0001,0.0000,0.0000,0.0000
3,2022-02-09T14:58:34.160777Z,46.510265724376,8.475581533522,-1.3490516773,-3.82,true,0.000,0.000,0.005,-0.003,-0.000,39,10,0,0.019,0.040,0.058,257,0,0,0,0.0000,0.0001,0.0000,0.0000
4,2022-02-09T14:59:02.73861Z,46.510328632142,8.475780312361,-1.3439062070,-4.54,true,0.000,0.000,0.002,0.003,-0.000,34,5,0,0.015,0.033,0.036,152,0,0,0,0.0000,0.0000,0.0000,0.0000
5,2022-02-09T14:59:41.977925Z,46.510253494677,8.475462460085,-1.3466404705,-2.84,true,0.001,0.000,0.001,-0.000,-0.000,42,20,0,0.010,0.061,0.094,376,0,0,0,0.0002,0.0001,0.0000,0.0000
6,2022-02-09T14:59:58.556293Z,46.510299797857,8.475646566158,-1.3545929374,-4.19,true,0.000,0.000,0.004,-0.002,-0.000,41,6,0,0.023,0.029,0.050,219,0,0,0,0.0001,0.0000,0.0000,0.0000
7,2022-02-09T15:00:19.133453Z,46.510257328539,8.475559769019,-1.3450863151,-4.28,true,0.000,0.000,0.001,0.000,-0.000,45,7,0,0.017,0.035,0.045,275,0,0,0,-0.0001,0.0000,0.0000,0.0000
8,2022-02-09T15:01:05.025081Z,46.510399066067,8.475531192863,-1.3363844097,-4.31,true,0.000,0.000,0.008,0.007,-0.001,36,5,0,0.019,0.040,0.048,167,0,0,0,-0.0001,0.0001,0.0000,0.0000
9,2022-02-09T15:01:30.488017Z,46.510308552040,8.475706219349,-1.3467723521,-4.63,true,0.000,0.000,0.004,-0.002,-0.000,45,6,0,0.018,0.029,0.035,237,0,0,0,0.0001,0.0000,-0.0000,0.0000
10,2022-02-09T15:02:27.009436Z,46.510251266382,8.475518058911,-1.3505899984,-4.02,true,0.000,0.000,0.002,-0.000,-0.000,32,7,0,0.015,0.037,0.051,192,0,0,0,-0.0002,0.0000,-0.0000,0.0000
11,2022-02-09T15:02:39.85652Z,46.510333346206,8.475677787666,-1.3403588926,-4.31,true,0.000,0.000,0.002,0.003,-0.000,34,5,0,0.023,0.034,0.039,157,0,0,0,-0.0001,0.0001,0.0000,0.0000
12,2022-02-09T17:29:43.818036Z,46.510321350601,8.475649514706,-1.3527706880,-3.85,true,0.000,0.000,0.002,0.001,-0.000,49,11,0,0.023,0.041,0.051,383,0,0,0,0.0001,0.0000,0.0000,0.0000
13,2022-02-09T17:34:43.134348Z,46.510116887929,8.475849777810,-1.3628314325,-4.16,true,0.000,0.000,0.009,-0.001,-0.001,31,5,0,0.020,0.028,0.042,148,0,0,0,-0.0001,0.0001,0.0000,0.0000
14,2022-02-09T17:35:08.90403Z,46.510338049945,8.475580294600,-1.3433658563,-4.33,true,0.000,0.000,0.004,0.006,-0.000,45,4,0,0.018,0.032,0.036,179,0,0,0,-0.0001,0.0000,-0.0000,0.0000
15,2022-02-09T17:38:26.642328Z,46.510282470701,8.475546786919,-1.3440764264,-4.45,true,0.001,0.000,0.005,-0.002,-0.001,42,4,0,0.015,0.038,0.044,148,0,0,0,0.0000,0.0000,0.0000,0.0000
16,2022-02-09T17:38:59.120563Z,46.510253316703,8.475460986252,-1.3465715685,-3.04,true,0.001,0.000,0.001,0.000,-0.000,41,20,0,0.010,0.061,0.092,373,0,0,0,0.0002,0.0001,0.0000,0.0000
17,2022-02-09T17:39:24.170235Z,46.510349950484,8.475841835568,-1.3422857543,-4.43,true,0.000,0.000,0.001,-0.000,-0.000,37,5,0,0.015,0.029,0.038,156,0,0,0,0.0000,0.0000,0.0000,0.0000
18,2022-02-09T17:39:29.354181Z,46.510338126697,8.475709618259,-1.3553635811,-3.42,true,0.001,0.000,0.002,0.000,-0.000,32,19,0,0.021,0.044,0.072,408,0,0,0,-0.0001,0.0001,-0.0000,0.0000
19,2022-02-09T17:40:06.302923Z,46.510265451006,8.475553631830,-1.3513205479,-3.87,true,0.000,0.000,0.001,-0.000,-0.000,47,9,0,0.018,0.039,0.056,360,0,0,0,-0.0000,0.0000,-0.0000,0.0000
20,2022-02-09T17:40:08.468213Z,46.510374311495,8.475542264957,-1.3388543917,-4.15,true,0.000,0.000,0.006,0.006,-0.001,35,4,0,0.017,0.036,0.046,127,0,0,0,-0.0001,0.0001,-0.0000,0.0000
21,2022-02-09T17:42:23.32787Z,46.510218487327,8.475439366765,-1.3536437291,-3.85,true,0.000,0.000,0.002,-0.000,-0.000,40,7,0,0.015,0.043,0.060,229,0,0,0,-0.0002,0.0000,-0.0000,0.0000
22,2022-02-09T17:43:10.216708Z,46.510346882618,8.475723506557,-1.3541997095,-3.72,true,0.000,0.000,0.003,-0.000,-0.000,37,16,0,0.020,0.041,0.059,434,0,0,0,-0.0003,0.0001,0.0000,0.0000
23,2022-02-09T17:43:38.3287Z,46.510208462720,8.475409237136,-1.3526587542,-3.87,true,0.000,0.000,0.001,0.001,-0.000,44,5,0,0.015,0.039,0.057,208,0,0,0,-0.0002,0.0000,-0.0000,0.0000
24,2022-02-09T17:44:18.785986Z,46.510232715493,8.475462498608,-1.3529804475,-4.05,true,0.000,0.000,0.004,-0.002,-0.001,41,7,0,0.015,0.041,0.059,205,0,0,0,-0.0000,0.0000,0.0000,0.0000
25,2022-02-09T17:44:35.639289Z,46.510204059428,8.475420183596,-1.3542991157,-3.87,true,0.000,0.000,0.002,0.001,-0.000,45,5,0,0.016,0.039,0.058,215,0,0,0,-0.0001,0.0001,-0.0000,0.0000
26,2022-02-09T17:44:50.879575Z,46.510380115974,8.475517175331,-1.3394192065,-3.97,true,0.000,0.000,0.002,0.003,-0.000,39,5,0,0.016,0.040,0.050,164,0,0,0,-0.0001,0.0001,0.0000,0.0000
27,2022-02-09T17:45:04.570646Z,46.510340061288,8.475705666496,-1.3543474052,-3.14,true,0.001,0.000,0.002,0.001,-0.000,37,21,0,0.021,0.049,0.083,464,0,0,0,0.0000,0.0001,-0.0000,0.0000
28,2022-02-09T17:47:58.599664Z,46.510238443583,8.475467596215,-1.3488583999,-4.06,true,0.000,0.000,0.001,0.001,-0.000,44,7,0,0.012,0.046,0.063,200,0,0,0,0.0001,0.0001,0.0000,0.0000
29,2022-02-09T17:51:22.260679Z,46.510333595862,8.475698749761,-1.3542764896,-3.42,true,0.001,0.000,0.002,0.000,-0.000,42,14,0,0.021,0.042,0.082,322,0,0,0,-0.0001,0.0001,-0.0000,0.0000
30,2022-02-09T17:53:23.848622Z,46.510248308925,8.475574942500,-1.3465778382,-4.32,true,0.000,0.000,0.005,-0.003,-0.000,34,5,0,0.018,0.040,0.061,145,0,0,0,-0.0001,0.0001,-0.0000,0.0000
31,2022-02-09T17:54:16.596368Z,46.510184435409,8.475368773857,-1.3513878346,-3.92,true,0.000,0.000,0.001,0.001,-0.000,48,5,0,0.015,0.042,0.058,222,0,0,0,-0.0001,0.0001,-0.0000,0.0000
32,2022-02-09T17:54:25.282948Z,46.510212713662,8.475429320024,-1.3537184771,-4.07,true,0.000,0.000,0.002,0.001,-0.000,40,5,0,0.015,0.039,0.057,191,0,0,0,-0.0002,0.0000,0.0000,0.0000
33,2022-02-09T17:55:47.23474Z,46.510372613186,8.475834188752,-1.3485561006,-4.41,true,0.000,0.000,0.002,-0.000,-0.000,33,7,0,0.017,0.025,0.052,171,0,0,0,-0.0002,0.0001,-0.0000,0.0000
34,2022-02-09T17:57:15.677406Z,46.510256762677,8.475507115339,-1.3469900572,-3.93,true,0.000,0.000,0.001,0.001,-0.000,47,6,0,0.013,0.036,0.048,258,0,0,0,0.0002,0.0000,0.0000,0.0000
35,2022-02-09T17:57:40.282258Z,46.510233413486,8.475460269695,-1.3525625525,-3.70,true,0.000,0.000,0.001,0.000,-0.000,50,10,0,0.014,0.048,0.065,346,0,0,0,0.0000,0.0000,-0.0000,0.0000
36,2022-02-09T17:57:59.817235Z,46.510215767241,8.475565741332,-1.3412195366,-4.32,true,0.000,0.000,0.005,-0.004,-0.000,31,5,0,0.019,0.028,0.048,140,0,0,0,-0.0000,0.0001,-0.0000,0.0000
37,2022-02-09T17:58:41.534444Z,46.510292114941,8.475509557387,-1.3419538967,-4.26,true,0.000,0.000,0.001,0.003,-0.000,42,5,0,0.012,0.033,0.049,180,0,0,0,-0.0000,0.0000,-0.0000,0.0000
38,2022-02-09T18:01:38.686263Z,46.510218791077,8.475464757491,-1.3454640893,-4.29,true,0.000,0.000,0.001,0.001,-0.000,39,4,0,0.013,0.033,0.049,151,0,0,0,0.0000,0.0001,0.0000,0.0000
39,2022-02-09T18:09:07.134244Z,46.510255090208,8.475463022455,-1.3466950649,-3.07,true,0.001,0.000,0.001,0.000,-0.000,41,19,0,0.010,0.061,0.094,365,0,0,0,0.0002,0.0001,0.0000,0.0000
40,2022-02-09T14:05:18.512494Z,46.510264341699,8.475682895567,-1.3359875659,-4.06,true,0.000,0.000,0.001,-0.000,0.000,38,11,0,0.022,0.041,0.068,302,0,0,0,-0.0000,0.0000,-0.0000,0.0000
41,2022-02-09T14:06:35.808314Z,46.510264613173,8.475689027583,-1.3359702015,-4.53,true,0.000,0.000,0.000,-0.001,-0.000,36,6,0,0.021,0.029,0.041,195,0,0,0,0.0000,0.0000,0.0000,0.0000
42,2022-02-09T14:38:19.20712Z,46.510263986189,8.475684015512,-1.3360276093,-3.99,true,0.000,0.000,0.001,-0.000,0.000,36,15,0,0.022,0.048,0.089,317,0,0,0,-0.0000,0.0000,-0.0000,0.0000
43,2022-02-09T14:38:21.855071Z,46.510261154902,8.475687032462,-1.3368468683,-3.65,true,0.000,0.000,0.002,-0.000,0.000,38,17,0,0.021,0.053,0.088,329,0,0,0,-0.0000,0.0000,0.0000,0.0000
44,2022-02-09T14:38:22.393061Z,46.510257810245,8.475685257071,-1.3375488426,-4.10,true,0.000,0.000,0.001,-0.000,0.000,39,11,0,0.021,0.040,0.088,302,0,0,0,-0.0000,0.0000,0.0000,0.0000
45,2022-02-09T14:38:29.325652Z,46.510263035235,8.475683470866,-1.3360923157,-4.12,true,0.000,0.000,0.001,-0.000,0.000,39,12,0,0.022,0.042,0.089,314,0,0,0,-0.0000,0.0000,0.0000,0.0000
46,2022-02-09T14:38:38.070076Z,46.510263055140,8.475682885580,-1.3360870187,-4.33,true,0.000,0.000,0.001,-0.001,-0.000,38,8,0,0.022,0.032,0.064,251,0,0,0,0.0000,0.0000,0.0000,0.0000
47,2022-02-09T14:38:43.338587Z,46.510262487543,8.475680726476,-1.3359436098,-4.50,true,0.000,0.000,0.000,-0.001,-0.000,34,6,0,0.022,0.029,0.048,187,0,0,0,-0.0000,0.0000,0.0000,0.0000
48,2022-02-09T14:39:01.467527Z,46.510272407514,8.475585891093,-1.3273744385,-3.94,true,0.000,0.000,0.001,-0.000,0.000,30,5,0,0.023,0.028,0.078,129,0,0,0,0.0001,0.0001,0.0000,0.0000
49,2022-02-09T14:39:38.725791Z,46.510263601279,8.475740567120,-1.3424823044,-4.03,true,0.000,0.000,0.000,0.000,0.000,38,13,0,0.015,0.039,0.067,306,0,0,0,0.0000,0.0001,0.0000,0.0000
50,2022-02-09T14:39:43.558712Z,46.510273735336,8.475735699704,-1.3417414109,-4.22,true,0.000,0.000,0.000,-0.000,-0.000,43,8,0,0.016,0.032,0.050,269,0,0,0,-0.0000,0.0001,0.0000,0.0000
51,2022-02-09T14:40:14.203847Z,46.510212068266,8.475588124571,-1.3259149098,-4.45,true,0.000,0.000,0.000,-0.001,-0.000,30,5,0,0.017,0.027,0.044,145,0,0,0,-0.0000,0.0001,0.0000,0.0000
52,2022-02-09T14:40:41.499995Z,46.510304776104,8.475738364831,-1.3338445412,-4.02,true,0.000,0.000,0.001,-0.000,0.000,35,13,0,0.021,0.041,0.079,306,0,0,0,-0.0000,0.0000,-0.0000,0.0000
53,2022-02-09T14:43:16.128633Z,46.510305089949,8.475738232062,-1.3338477786,-4.12,true,0.000,0.000,0.001,-0.000,0.000,36,11,0,0.021,0.040,0.069,281,0,0,0,-0.0000,0.0000,0.0000,0.0000
54,2022-02-09T14:43:32.586944Z,46.510306067981,8.475746594811,-1.3330524342,-4.00,true,0.000,0.000,0.001,-0.000,0.000,36,11,0,0.021,0.040,0.070,291,0,0,0,-0.0000,0.0000,-0.0000,0.0000
55,2022-02-09T14:43:40.362376Z,46.510292202805,8.475656025113,-1.3309519191,-3.95,true,0.000,0.000,0.001,-0.001,0.000,31,6,0,0.025,0.028,0.069,166,0,0,0,-0.0000,0.0000,0.0000,0.0000
56,2022-02-09T14:45:35.785449Z,46.510310319691,8.475767444348,-1.3328029719,-3.93,true,0.000,0.000,0.002,-0.000,0.000,40,15,0,0.021,0.042,0.079,311,0,0,0,-0.0000,0.0000,-0.0000,0.0000
57,2022-02-09T14:45:51.222479Z,46.510369680570,8.475744272269,-1.3433627316,-4.07,true,0.000,0.000,0.002,-0.002,0.000,40,6,0,0.020,0.031,0.039,198,0,0,0,0.0000,0.0000,-0.0000,0.0000
58,2022-02-09T14:46:21.819561Z,46.510383628067,8.475722335845,-1.3415935904,-4.35,true,0.001,0.000,0.009,0.006,-0.001,43,6,0,0.028,0.035,0.048,213,0,0,0,0.0004,0.0001,0.0000,0.0000
59,2022-02-09T14:46:39.142703Z,46.510134815961,8.475775100163,-1.3492513908,-4.13,true,0.001,0.000,0.007,0.004,0.000,40,3,0,0.015,0.028,0.038,107,0,0,0,-0.0001,0.0002,0.0000,0.0000
60,2022-02-09T14:47:13.475799Z,46.510305753552,8.475746377934,-1.3330615331,-3.90,true,0.000,0.000,0.001,-0.001,0.000,36,13,0,0.021,0.041,0.070,303,0,0,0,-0.0000,0.0000,-0.0000,0.0000
61,2022-02-09T14:48:01.690586Z,46.510079800291,8.475928793460,-1.3541547228,-4.22,true,0.001,0.000,0.005,0.002,0.000,36,4,0,0.018,0.035,0.052,138,0,0,0,-0.0000,0.0000,0.0000,0.0000
62,2022-02-09T14:48:09.587906Z,46.510304786577,8.475738304927,-1.3338521095,-4.13,true,0.000,0.000,0.000,-0.000,0.000,35,9,0,0.021,0.031,0.065,257,0,0,0,0.0000,0.0000,0.0000,0.0000
63,2022-02-09T14:48:11.426099Z,46.510311866159,8.475752496834,-1.3319191256,-4.18,true,0.000,0.000,0.000,-0.001,0.000,40,8,0,0.022,0.032,0.043,262,0,0,0,-0.0000,0.0000,-0.0000,0.0000
64,2022-02-09T14:48:24.465015Z,46.510313361985,8.475678786296,-1.3496933631,-4.45,true,0.000,0.000,0.002,0.001,-0.000,39,7,0,0.020,0.031,0.054,231,0,0,0,-0.0000,0.0000,-0.0000,0.0000
