ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type
KP198611010401,47.568937,7.776056,14.587,625392,268747,-14587.0,1986,11,1,4,1,9.1,1.2,0,296,81,-174,205,84,-9,160,11,251,2,1,SS
KP198701081923,47.246156,7.596649,6.05,611963,232816,-6050.0,1987,1,8,19,24,20.5,2.6,1,298,62,-174,205,85,-28,158,23,255,16,1,SS
KP198701290006,47.426704,9.288624,5.393,739573,254523,-5393.0,1987,1,29,0,7,0.5,3.2,0,10,45,-54,144,55,-121,357,65,255,6,1,ON
KP198703220136,46.222884,7.920284,6.994,637162,119162,-6994.0,1987,3,22,1,36,46.8,2.1,0,311,51,-47,75,55,-130,286,58,192,2,1,ON
KP198704110314,47.421946,7.872952,7.463,632774,252439,-7463.0,1987,4,11,3,14,39.8,3.3,1,190,76,-11,282,79,-166,146,18,56,2,1,SS
KP198704292041,46.49553,9.82714,2.323,783341,152148,-2323.0,1987,4,29,20,41,47.2,2.7,0,353,67,-12,88,79,-156,312,24,219,8,1,SS
KP198705052028,47.218891,8.564281,24.927,685261,230384,-24927.0,1987,5,5,20,29,3.3,2.3,0,304,75,-170,211,80,-15,167,18,258,4,1,SS
KP198705301945,45.92463,7.919366,3.924,637294,86007,-3924.0,1987,5,30,19,45,19.2,1.9,0,135,50,-10,231,82,-140,101,33,357,21,1,SS
KP198707180858,47.668012,7.46334,18.502,601857,279709,-18502.0,1987,7,18,8,59,7.7,2.8,0,299,80,177,30,87,10,164,5,255,9,1,SS
KP198707261056,46.904125,9.125262,1.879,728499,196160,-1879.0,1987,7,26,10,56,50.3,2.4,1,90,72,144,193,56,22,145,10,47,38,1,OT
KP198709201153,46.768473,7.212604,1.972,582735,179725,-1972.0,1987,9,20,11,53,57.6,3.9,1,7,84,2,277,88,174,322,3,232,6,1,SS
KP198710282348,47.088508,9.187741,4.299,732801,216757,-4299.0,1987,10,28,23,49,0.5,4.2,0,178,70,13,84,78,160,132,5,40,23,1,SS
KP198711011015,47.213048,9.616196,0.714,764939,231412,-714.0,1987,11,1,10,16,18.5,2.6,0,295,78,-169,203,79,-12,159,16,249,1,1,SS
KP198711052206,46.419329,8.104514,11.701,651192,141103,-11701.0,1987,11,5,22,6,58.7,3.5,0,249,84,-174,158,84,-6,114,8,204,0,1,SS
KP198711211401,47.700937,7.447664,12.895,600679,283370,-12895.0,1987,11,21,14,1,12.7,2.9,0,209,38,64,61,56,109,138,9,18,72,1,TF
KP198712110225,47.294366,7.161703,7.001,579054,238202,-7001.0,1987,12,11,2,25,58.0,3.7,0,274,70,168,8,79,20,140,6,232,22,1,SS
KP198712160935,47.511252,7.661571,9.603,616795,262302,-9603.0,1987,12,16,9,36,0.9,2.8,1,6,86,36,273,54,175,134,21,236,28,1,OT
KP198712311516,47.513448,7.660087,11.587,616683,262546,-11587.0,1987,12,31,15,16,11.1,1.2,0,53,40,14,312,81,129,13,26,258,41,1,SS
KP198803232111,47.67514,7.447988,18.692,600704,280501,-18692.0,1988,3,23,21,11,37.2,2.0,0,7,30,-13,108,84,-119,350,44,222,33,1,SS
KP198804161404,47.424167,7.890705,8.66,634112,252694,-8660.0,1988,4,16,14,5,11.6,1.7,1,310,63,-108,165,32,-59,187,67,53,16,1,NF
KP198804170340,46.784266,9.474756,6.127,755466,183472,-6127.0,1988,4,17,3,41,8.6,2.1,0,327,43,-59,108,54,-115,321,69,216,6,1,ON
KP198805111112,47.512391,7.662202,9.871,616842,262429,-9871.0,1988,5,11,11,12,9.3,2.4,0,199,75,-16,293,75,-164,156,22,66,0,1,SS
KP198805232155,46.735114,9.644366,7.887,768566,178360,-7887.0,1988,5,23,21,56,7.0,2.1,0,345,47,-54,118,54,-122,328,64,230,4,1,ON
KP198806112244,45.918988,6.785701,17.087,549339,85477,-17087.0,1988,6,11,22,44,45.5,3.7,0,34,50,-174,300,85,-40,249,31,354,23,1,SS
KP198808260030,47.804633,7.67442,19.886,617665,294927,-19886.0,1988,8,26,0,30,34.2,3.1,0,307,30,-118,158,64,-75,97,67,237,18,1,NF
KP198809112301,47.12601,8.390906,30.955,672255,219885,-30955.0,1988,9,11,23,1,54.5,2.5,0,298,74,180,28,90,16,162,11,254,11,1,SS
KP198810141902,46.704795,6.87449,0.322,556857,172776,-322.0,1988,10,14,19,2,30.5,3.4,1,350,69,20,253,71,158,302,2,211,29,1,SS
KP198810181119,47.747597,7.634294,4.542,614675,288576,-4542.0,1988,10,18,11,19,59.2,1.9,0,272,73,170,5,80,17,138,5,229,19,1,SS
KP198810272052,47.487608,7.739461,12.725,622673,259693,-12725.0,1988,10,27,20,52,15.2,1.6,0,275,77,-177,184,87,-13,139,11,230,7,1,SS
KP198811202043,47.710055,7.525237,22.038,606501,284387,-22038.0,1988,11,20,20,43,14.6,1.9,0,263,68,-177,172,87,-22,125,17,220,13,1,SS
KP198901070229,46.353192,7.515599,6.53,605924,133537,-6530.0,1989,1,7,2,29,41.5,3.6,0,57,68,170,151,81,22,282,9,16,22,1,SS
