Time,Eastern Bedretto,Northern Bedretto,Depth,Latitude,Longitude,MwA
2023/07/12T09:03:20.749515,-101.884756355,-45.536836016,1386.278517,46.510565297619,8.476040989907,-4.06
2023/07/12T09:03:25.415693,-108.609854502,-47.4665582667,1380.3030179,46.510548740987,8.475953043432,-4.04
2023/07/12T09:09:46.295938,-92.2168669011,-45.2526728075,1386.6739871,46.510566703796,8.476166992885,-4.49
2023/07/12T09:09:57.200241,-87.9430736694,-44.3552226485,1395.4009922,46.510574266171,8.47622282533,-4.44
2023/07/12T09:09:59.573980,-97.4000841114,-43.4816032413,1390.3918431,46.510583249939,8.476099769905,-4.16
2023/07/12T09:12:27.331688,-90.3079169532,-45.4833743183,1397.9441270999998,46.510564399409,8.476191821165,-4.14
2023/07/12T09:12:40.018158,-104.41642472,-47.9142178842,1385.0372838,46.510544214792,8.476007597863,-4.09
2023/07/12T09:24:39.092015,-95.6971756453,-48.7404024305,1397.6258012,46.51053574403,8.476121048465,-3.92
2023/07/12T09:25:26.374574,-99.3051187349,-48.0550802245,1380.339572,46.510542340872,8.47607416492,-4.19
2023/07/12T09:26:41.951921,-102.128458953,-55.7766264342,1398.8635160000001,46.510473219021,8.47603604908,-4.1
2023/07/12T09:28:24.179546,-91.4022297077,-42.3672289075,1386.9247708,46.510592560912,8.476178103056,-4.47
2023/07/12T09:28:45.759495,-99.9042982464,-56.2794855938,1401.9420103,46.510468430791,8.476064938444,-4.08
2023/07/12T09:29:20.764555,-112.834594035,-60.434123704,1389.6027738,46.510432600543,8.475895768371,-4.13
2023/07/12T09:34:13.468641,-88.9490095773,-44.414131199,1394.7938437,46.510573856062,8.476209709865,-4.32
2023/07/12T09:36:27.405751,-93.248548964,-48.7690336825,1400.5079669,46.510535194717,8.476152943938,-3.63
2023/07/12T09:37:30.298033,-90.5053403508,-39.8828287735,1390.5199977,46.510614800265,8.476190215165,-4.21
2023/07/12T09:37:32.835993,-86.3103768579,-40.5500048031,1389.9620057,46.510608300311,8.47624475272,-4.17
2023/07/12T09:39:00.081139,-110.765446494,-60.3089795511,1393.1608199,46.510433479463,8.475922746277,-4.1
2023/07/12T09:40:19.331241,-95.0235870746,-49.9256445693,1400.1277288,46.510525002386,8.476129619437,-4.41
2023/07/12T09:41:27.505325,-93.4416649281,-51.4568804628,1407.5813237999998,46.510511039582,8.476149963789,-4.21
2023/07/12T09:43:06.983311,-90.3224298116,-45.8032780453,1403.7113275,46.510561522516,8.476191575988,-3.29
2023/07/12T09:44:17.634649,-99.2913289294,-56.0888056338,1405.1332478,46.510470072397,8.47607295654,-4.16
2023/07/12T09:48:46.178755,-103.894603299,-47.1778642701,1384.4002109,46.510550776236,8.47601452313,-4.25
2023/07/12T09:49:20.766398,-95.3709890204,-50.3484144886,1400.7003298,46.510521240848,8.476125020536,-4.29
