Time,Eastern Bedretto,Northern Bedretto,Depth,Latitude,Longitude,Mw,MwA,Class
2023/02/28T15:07:53.032198,-91.2879297425,-43.6929728053,1392.49899698,46.51058118257842,8.476179851426371, ,-4.64075837736,relocated
2023/02/28T15:18:19.863830,-91.4134725393,-44.0146927178,1391.97446665,46.510578303592524,8.476178160333141,-3.897820783485809,-3.8592597702,relocated
2023/02/28T15:18:52.514586,-89.5227396034,-43.7304895768,1396.62782161,46.51058063599799,8.476202842731919, ,-4.68301994737,relocated
2023/02/28T15:18:52.720152,-90.7882024954,-43.5798536019,1392.27477142,46.51058214058714,8.476186381365844,-4.070469153178513,-4.04889548888,relocated
2023/02/28T15:22:37.268080,-89.4515994395,-43.7007151014,1393.7076764,46.510580894775174,8.476203774178439,-4.3782336382829,-4.33155249788,relocated
2023/02/28T15:24:14.005724,-91.5469477088,-44.4721041095,1393.40180467,46.51057420541558,8.47617634285834,-4.381986863711002,-4.46766380733,relocated
2023/02/28T15:24:52.262488,-91.6534455753,-43.8033788184,1394.56416049,46.51058023337628,8.476175070790115,-3.8490288529204792,-3.90679591314,relocated
2023/02/28T15:38:17.423174,-92.0725501432,-44.537507742,1392.71169306,46.51057367949579,8.476169483877726,-4.483323950269764,-4.32921411774,relocated
2023/02/28T16:03:57.222633,-88.7432342091,-43.1207165273,1396.07198429,46.51058602797674,8.476213103146852, ,-4.45901040598,relocated
2023/02/28T16:04:18.106266,-94.940413591,-42.7367028293,1391.77309382,46.51059021830172,8.476132431131392,-4.423272343420127,-4.39022069748,relocated
2023/02/28T16:05:03.862487,-88.067385284,-41.2943873501,1393.24580524,46.51060237453919,8.476222222301182, ,-4.74174952847,relocated
2023/02/28T16:05:35.688005,-90.1543636811,-43.854144347,1392.95393516,46.51057959814041,8.476194591942049,-4.074222378606615,-4.17057976766,relocated
2023/02/28T16:06:29.774109,-88.2649535745,-43.4947445851,1397.54124605,46.510582607066745,8.4762192700508,-4.228104621158809,-4.19661621855,relocated
2023/02/28T16:06:32.236662,-88.1018398883,-42.6353448885,1395.54473439,46.510590317418306,8.476221542814374, ,-4.79018419795,relocated
