Time,Eastern Bedretto,Northern Bedretto,Depth,Latitude,Longitude,Mw,MwA,Class
2022/06/22T05:09:28.288083,-139.683876318,-102.959042875,1357.55337895,46.510053841973544,8.475539135594653,-4.389493314567207,-3.80018891549,relocated
2022/06/22T05:13:04.940232,-154.513851659,-84.6049652904,1335.28270223,46.51022069175791,8.475349086490784,-4.306922355148957,-3.99320745866,relocated
2022/06/22T05:13:42.349640,-143.147405101,-78.9383546084,1344.39437311,46.510270312866496,8.475498145678829,-4.303169129720855,-4.1938663881,relocated
2022/06/22T05:13:47.975686,-142.159505667,-79.1917446144,1347.26854007,46.510267916820226,8.47551097292388,-4.381986863711002,-4.11771076028,relocated
2022/06/22T05:14:52.820787,-142.954734044,-79.5624661748,1347.19191363,46.51026467674732,8.47550054884316,-4.280649777152241,-4.02922575704,relocated
2022/06/22T05:18:50.355751,-144.14092025,-81.3551558323,1349.4249955,46.510248693246076,8.475484786972078,-3.7476917663617177,-3.69238891051,relocated
2022/06/22T05:23:08.677933,-146.83415677,-83.133403666,1338.2989626,46.51023301611343,8.475449391430843,-4.427025568848229,-4.0372816648,relocated
2022/06/22T05:23:16.749526,-144.165821483,-80.5451340374,1347.54734719,46.5102559818366,8.475484601676342,-3.7777175697865357,-3.68571203352,relocated
2022/06/22T05:23:22.868964,-160.212746791,-114.462339701,1354.98478452,46.50995281107028,8.475269705912764,-4.019800609899132,-3.57782516143,relocated
2022/06/22T05:23:41.613516,-145.335414677,-84.1606797614,1351.50725198,46.510223600435374,8.475468742492962,-4.423272343420127,-3.97111569801,relocated
2022/06/22T05:23:56.488234,-132.660831696,-72.9827899257,1348.86269915,46.510322636541616,8.475635791076732,-4.314428806005161,-4.31212625043,relocated
2022/06/22T05:23:57.680070,-132.383200094,-74.8029023849,1349.64968162,46.51030623210667,8.475639094834404,-4.121137696457893,-4.1249276549,relocated
2022/06/22T05:23:57.708518,-146.498845782,-81.1177088113,1347.24302159,46.510251108849985,8.475454108387718, ,-3.73335473113,relocated
2022/06/22T05:24:09.481775,-143.534764086,-79.5981742428,1346.60540645,46.51026442438253,8.475492985954451,-4.194325592305889,-4.04812337684,relocated
2022/06/22T05:24:14.793238,-143.351230699,-79.0929417882,1344.1794137,46.51026894656518,8.475495463586663,-4.318182031433263,-4.22814749663,relocated
2022/06/22T05:24:20.996672,-142.248417536,-79.4589761988,1346.86922275,46.51026552360815,8.47550976850603,-4.314428806005161,-4.13254908901,relocated
