Time,Eastern Bedretto,Northern Bedretto,Depth,Latitude,Longitude,Mw,MwA,Class
2023/03/14T11:39:48.941954,-112.314146038,-67.2119258208,1380.50622045,46.51037213177775,8.475901867567035, ,-4.14932502054,relocated
2023/03/14T11:40:40.428224,-103.467432025,-79.7954776297,1376.45445781,46.5102578922298,8.476014954908315, ,-3.93887027455,relocated
2023/03/14T11:41:18.286727,-103.657471974,-57.4947893728,1364.44905082,46.510458503172465,8.476016317922648, ,-4.41995762391,relocated
2023/03/14T11:42:00.395008,-93.3096067904,-54.6266059654,1373.5979753,46.5104830731979,8.476151626183151, ,-4.36410311949,relocated
2023/03/14T11:42:00.447632,-103.383671184,-79.4212313573,1376.53923637,46.51026124856486,8.476016110617998, ,-4.43033733305,relocated
2023/03/14T11:43:04.000769,-121.493958457,-62.0062576403,1365.26895733,46.51042004424494,8.475783166358262, ,-4.3936938533,relocated
2023/03/14T11:43:16.572703,-107.632948615,-54.3456829453,1364.51153705,46.51048730156342,8.47596506753568,-4.16429978888107,-3.87415584247,relocated
2023/03/14T11:43:34.501809,-110.507145909,-56.6184297814,1362.62751705,46.51046719999579,8.47592723056043,-3.6801337086558767,-3.48146285952,relocated
2023/03/14T11:44:45.779890,-144.515340711,-89.4098590464,1384.13728158,46.51017629398751,8.475478528427765, ,-3.90696946902,relocated
2023/03/14T11:44:53.508954,-99.6768236895,-57.4265555538,1371.01285455,46.510458644856755,8.476068190936372,-4.318182031433263,-4.18209898063,relocated
2023/03/14T11:44:57.837248,-108.85247522,-53.6872854751,1370.62860738,46.510493369952115,8.475949293904547,-4.340701384001877,-4.05543514462,relocated
2023/03/14T11:45:28.620040,-106.813117822,-111.318539931,1386.07561311,46.509974747635226,8.475965939863071, ,-3.81181107404,relocated
2023/03/14T11:45:40.203468,-112.618559044,-84.093528774,1390.00768544,46.51022032283665,8.4758949960554, ,-3.71819427157,relocated
2023/03/14T11:45:57.058978,-103.072196628,-55.4159894696,1371.07419002,46.51047713332076,8.476024302110275, ,-4.41566192891,relocated
2023/03/14T11:46:01.581889,-103.0838737,-57.4124426811,1365.20832469,46.51045917580755,8.476023805110044, ,-4.62873312056,relocated
2023/03/14T11:46:20.480515,-105.395604025,-76.2002979823,1377.27636416,46.5102904596765,8.475990453994461, ,-4.37154651999,relocated
2023/03/14T11:46:27.745229,-102.654787617,-63.9337749241,1364.75466023,46.51040046647106,8.476028271982825, ,-4.60253316467,relocated
2023/03/14T11:47:04.933075,-101.661828905,-53.4966676562,1373.55991636,46.51049423005555,8.476043007483515, ,-4.3944243449,relocated
2023/03/14T11:47:07.152558,-106.209072302,-63.6434989002,1357.25843241,46.510403498617556,8.475982015295093, ,-4.58842571528,relocated
2023/03/14T11:47:27.809994,-111.277405683,-61.2278725757,1365.84031147,46.51042583109999,8.475916402293455, ,-4.45751080529,relocated
2023/03/14T11:47:37.634057,-102.119923634,-56.1271989348,1366.81083002,46.510470622034774,8.476036585154137, ,-4.57192647384,relocated
2023/03/14T11:47:53.856318,-114.514840965,-57.2412714825,1366.61279116,46.51046207495113,8.475874911479815,-4.355714285714287,-3.96803046303,relocated
2023/03/14T11:48:27.707919,-93.9646842987,-58.4159460545,1378.56357004,46.510449067649546,8.476142439911472, ,-4.89286137503,relocated
2023/03/14T11:48:30.299119,-108.322023123,-54.2078420747,1365.84095627,46.5104886236166,8.475956114194334,-4.408259441707718,-4.11631521078,relocated
