id,isotime,latitude,longitude,depth,magnitude,relocated,startRms,finalRms,locChange,depthChange,timeChange,numNeighbours,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,dd_numTTp,dd_numTTs,dd_numCCp,dd_numCCs,dd_startResidualMedian,dd_startResidualMAD,dd_finalResidualMedian,dd_finalResidualMAD
1,2022-03-09T10:21:22.276314Z,46.510519345254,8.476068462264,-1.3753511089,-3.87,true,0.000,0.000,0.000,-0.001,-0.000,30,19,0,0.012,0.033,0.049,493,0,0,0,-0.0000,0.0000,0.0000,0.0000
2,2022-03-09T11:25:37.701848Z,46.510530458191,8.476076009106,-1.3796502910,-3.70,true,0.000,0.000,0.000,-0.001,-0.000,31,21,0,0.013,0.031,0.055,518,0,0,0,0.0002,0.0000,0.0000,0.0000
3,2022-03-09T12:23:20.275848Z,46.510523817788,8.476075853380,-1.3758127459,-3.86,true,0.000,0.000,0.000,-0.001,-0.000,30,20,0,0.012,0.033,0.050,496,0,0,0,-0.0001,0.0001,-0.0000,0.0000
4,2022-03-09T12:37:35.398949Z,46.510514876847,8.476101405662,-1.3837877804,-3.94,true,0.000,0.000,0.000,-0.001,-0.000,38,16,0,0.012,0.027,0.051,531,0,0,0,0.0001,0.0000,-0.0000,0.0000
5,2022-03-09T12:52:58.11129Z,46.510564567294,8.476142995422,-1.3866515000,-3.62,true,0.000,0.000,0.001,0.000,-0.000,41,19,0,0.016,0.037,0.091,511,0,0,0,0.0001,0.0001,-0.0000,0.0000
6,2022-03-09T17:16:39.092664Z,46.510583352322,8.476217010272,-1.3871330230,-3.83,true,0.000,0.000,0.001,-0.000,-0.000,39,22,0,0.013,0.033,0.060,690,0,0,0,-0.0001,0.0000,-0.0000,0.0000
7,2022-03-09T17:18:33.991845Z,46.510568369942,8.476185956890,-1.3931908391,-3.69,true,0.000,0.000,0.001,0.000,-0.000,37,22,0,0.013,0.029,0.062,671,0,0,0,-0.0001,0.0000,-0.0000,0.0000
8,2022-03-09T17:19:44.100311Z,46.510582421701,8.476216925376,-1.3875783068,-3.57,true,0.001,0.000,0.001,-0.000,-0.000,37,22,0,0.014,0.033,0.060,650,0,0,0,0.0001,0.0000,0.0000,0.0000
9,2022-03-09T17:25:10.714894Z,46.510582445721,8.476216109494,-1.3871257389,-3.81,true,0.000,0.000,0.000,-0.000,-0.000,41,22,0,0.013,0.033,0.060,717,0,0,0,-0.0001,0.0000,-0.0000,0.0000
10,2022-03-09T17:28:11.635866Z,46.510532632567,8.476157424397,-1.3818437611,-3.80,true,0.000,0.000,0.000,-0.001,-0.000,41,21,0,0.014,0.028,0.051,679,0,0,0,0.0000,0.0000,-0.0000,0.0000
