id,isotime,latitude,longitude,depth,magnitude,relocated,startRms,finalRms,locChange,depthChange,timeChange,numNeighbours,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,dd_numTTp,dd_numTTs,dd_numCCp,dd_numCCs,dd_startResidualMedian,dd_startResidualMAD,dd_finalResidualMedian,dd_finalResidualMAD
1,2022-03-23T11:43:49.601294Z,46.510655561521,8.476326194777,-1.4058777709,-4.17,true,0.000,0.000,0.001,0.001,-0.000,37,9,0,0.012,0.021,0.039,235,0,0,0,0.0002,0.0000,0.0000,0.0000
2,2022-03-23T11:58:02.447674Z,46.510650847884,8.476237761135,-1.3952074216,-2.64,true,0.001,0.000,0.000,0.000,-0.000,43,28,0,0.012,0.035,0.107,642,0,0,0,-0.0000,0.0000,0.0000,0.0000
3,2022-03-23T11:58:26.503254Z,46.510739183780,8.476283705756,-1.3859292005,-4.33,true,0.000,0.000,0.002,-0.000,-0.000,41,7,0,0.005,0.023,0.026,214,0,0,0,0.0000,0.0001,0.0000,0.0000
4,2022-03-23T12:03:44.588187Z,46.510719210666,8.476248527089,-1.3859376617,-4.11,true,0.000,0.000,0.001,-0.000,-0.000,42,12,0,0.004,0.025,0.056,290,0,0,0,-0.0002,0.0001,-0.0000,0.0000
5,2022-03-23T12:04:02.381812Z,46.510678296345,8.476355874451,-1.4063137768,-2.64,true,0.001,0.000,0.001,0.000,-0.000,46,28,0,0.012,0.040,0.084,518,0,0,0,-0.0001,0.0001,-0.0000,0.0000
6,2022-03-23T12:05:00.39299Z,46.510648374854,8.476378207185,-1.4130364991,-2.59,true,0.001,0.000,0.000,0.001,-0.000,49,28,0,0.006,0.039,0.123,619,0,0,0,0.0001,0.0001,0.0000,0.0000
7,2022-03-23T12:07:30.162982Z,46.510689746053,8.476379027689,-1.4056179913,-3.83,true,0.000,0.000,0.001,0.000,-0.000,59,15,0,0.012,0.025,0.054,546,0,0,0,0.0002,0.0001,0.0000,0.0000
8,2022-03-23T12:09:01.305425Z,46.510653091782,8.476380650799,-1.4121705986,-2.31,true,0.001,0.000,0.000,0.001,-0.000,45,27,0,0.006,0.040,0.123,574,0,0,0,0.0002,0.0001,0.0000,0.0000
9,2022-03-23T12:09:31.367218Z,46.510687821980,8.476309248982,-1.3983040286,-4.53,true,0.000,0.000,0.001,-0.000,-0.000,36,5,0,0.008,0.015,0.017,160,0,0,0,-0.0000,0.0000,0.0000,0.0000
10,2022-03-23T12:10:12.359184Z,46.510712991262,8.476537707429,-1.3824163809,-4.55,true,0.001,0.000,0.022,0.008,-0.002,34,4,0,0.019,0.026,0.032,120,0,0,0,-0.0004,0.0000,0.0000,0.0000
11,2022-03-23T12:13:50.018479Z,46.510597571850,8.476257276941,-1.4062110350,-4.37,true,0.000,0.000,0.001,-0.000,-0.000,44,8,0,0.008,0.019,0.035,321,0,0,0,-0.0001,0.0000,0.0000,0.0000
12,2022-03-23T12:13:58.363763Z,46.510649290797,8.476166347609,-1.4072005583,-2.41,true,0.001,0.000,0.000,0.000,-0.000,50,25,0,0.015,0.036,0.091,448,0,0,0,-0.0003,0.0002,-0.0000,0.0000
13,2022-03-23T12:14:29.179485Z,46.510720647048,8.476294661951,-1.3902521593,-4.14,true,0.000,0.000,0.002,-0.000,-0.000,48,7,0,0.006,0.020,0.025,265,0,0,0,0.0000,0.0000,0.0000,0.0000
14,2022-03-23T12:14:45.692445Z,46.510677879825,8.476114693175,-1.4055084434,-3.96,true,0.000,0.000,0.000,0.001,-0.000,37,4,0,0.026,0.027,0.030,124,0,0,0,-0.0001,0.0001,0.0000,0.0000
15,2022-03-23T12:15:05.196981Z,46.510623075981,8.476233778990,-1.4032527239,-4.22,true,0.000,0.000,0.001,0.000,-0.000,46,9,0,0.010,0.020,0.027,334,0,0,0,0.0001,0.0000,0.0000,0.0000
16,2022-03-23T12:15:15.626109Z,46.510643811083,8.476253345941,-1.3928909857,-4.24,true,0.000,0.000,0.003,-0.001,-0.000,34,5,0,0.010,0.016,0.025,147,0,0,0,-0.0000,0.0002,0.0000,0.0000
17,2022-03-23T16:03:12.823191Z,46.510707133197,8.476410417310,-1.4062612937,-4.32,true,0.000,0.000,0.001,0.000,-0.000,38,8,0,0.011,0.019,0.031,242,0,0,0,0.0001,0.0001,0.0000,0.0000
18,2022-03-23T16:03:55.067622Z,46.510970053516,8.476305825094,-1.3732984198,-3.84,true,0.000,0.000,0.012,0.004,-0.003,34,5,0,0.033,0.035,0.048,143,0,0,0,-0.0004,0.0003,-0.0000,0.0000
19,2022-03-23T16:05:34.198307Z,46.510625086343,8.476365006737,-1.4190388857,-3.88,true,0.000,0.000,0.000,0.000,-0.000,33,6,0,0.019,0.024,0.037,165,0,0,0,-0.0001,0.0000,-0.0000,0.0000
20,2022-03-23T16:07:19.302739Z,46.510657319272,8.476207168526,-1.3886720096,-4.05,true,0.000,0.000,0.001,-0.001,-0.000,44,13,0,0.008,0.029,0.048,334,0,0,0,0.0002,0.0001,0.0000,0.0000
21,2022-03-23T16:07:28.407735Z,46.510585602390,8.476275147903,-1.4067358657,-4.45,true,0.000,0.000,0.001,0.000,-0.000,35,6,0,0.007,0.019,0.035,182,0,0,0,-0.0002,0.0001,-0.0000,0.0000
22,2022-03-23T16:07:30.280661Z,46.510646352162,8.476313253183,-1.4098382633,-4.36,true,0.000,0.000,0.001,0.000,-0.000,35,5,0,0.012,0.017,0.031,159,0,0,0,-0.0001,0.0000,-0.0000,0.0000
23,2022-03-23T16:07:53.783747Z,46.510686898810,8.476297758132,-1.3974015348,-3.43,true,0.000,0.000,0.001,0.000,-0.000,50,26,0,0.008,0.035,0.076,773,0,0,0,-0.0000,0.0000,-0.0000,0.0000
24,2022-03-23T16:08:31.322604Z,46.510596806987,8.476221769189,-1.4022168479,-4.25,true,0.000,0.000,0.000,0.000,-0.000,35,8,0,0.008,0.022,0.027,240,0,0,0,-0.0001,0.0000,-0.0000,0.0000
25,2022-03-23T16:08:55.58083Z,46.510684513398,8.476387841323,-1.4061248090,-4.02,true,0.000,0.000,0.001,0.000,-0.000,52,11,0,0.011,0.025,0.042,424,0,0,0,0.0001,0.0000,-0.0000,0.0000
26,2022-03-23T16:09:32.287842Z,46.510570763535,8.476297076755,-1.4073384704,-4.41,true,0.000,0.000,0.004,0.001,-0.000,43,6,0,0.006,0.019,0.030,215,0,0,0,-0.0001,0.0001,0.0000,0.0000
27,2022-03-23T16:09:57.964967Z,46.510671692569,8.476260561879,-1.4081826554,-4.73,true,0.000,0.000,0.001,0.001,-0.000,36,5,0,0.015,0.019,0.021,159,0,0,0,-0.0000,0.0000,0.0000,0.0000
28,2022-03-23T16:10:30.007687Z,46.510774737833,8.476164115134,-1.3753008797,-3.89,true,0.001,0.000,0.001,-0.001,-0.000,37,10,0,0.014,0.041,0.060,286,0,0,0,-0.0003,0.0001,0.0000,0.0000
29,2022-03-23T16:10:43.19609Z,46.510726089389,8.476268374421,-1.3854766931,-3.45,true,0.001,0.000,0.026,-0.002,0.004,43,5,0,0.012,0.026,0.037,149,0,0,0,-0.0000,0.0002,0.0000,0.0000
30,2022-03-23T16:10:46.040707Z,46.510659066466,8.476260402645,-1.3981798492,-4.58,true,0.000,0.000,0.002,0.001,-0.000,37,6,0,0.013,0.023,0.034,189,0,0,0,0.0000,0.0000,0.0000,0.0000
31,2022-03-23T16:12:23.011622Z,46.510772752346,8.476102204562,-1.3707943364,-2.70,true,0.001,0.000,0.002,0.001,-0.001,47,28,0,0.017,0.052,0.109,539,0,0,0,-0.0001,0.0001,-0.0000,0.0000
32,2022-03-23T16:12:37.973451Z,46.510700906340,8.476443186892,-1.4112247540,-3.96,true,0.000,0.000,0.001,0.000,-0.000,46,8,0,0.007,0.020,0.027,270,0,0,0,-0.0001,0.0000,0.0000,0.0000
33,2022-03-23T16:13:10.679843Z,46.510757194223,8.476240275859,-1.3813807356,-4.51,true,0.000,0.000,0.003,0.002,-0.001,37,5,0,0.008,0.015,0.028,165,0,0,0,0.0000,0.0001,0.0000,0.0000
34,2022-03-23T16:13:23.202336Z,46.510724753671,8.476194493663,-1.3848245318,-2.37,true,0.001,0.000,0.001,-0.000,-0.000,49,29,0,0.007,0.041,0.105,627,0,0,0,0.0002,0.0001,0.0000,0.0000
35,2022-03-23T09:40:43.860868Z,46.510839391079,8.476509144723,-1.4333635402,-3.26,true,0.000,0.000,0.001,0.001,0.000,43,24,0,0.012,0.063,0.118,328,0,0,0,-0.0001,0.0002,-0.0000,0.0000
36,2022-03-23T09:40:58.899487Z,46.510837367613,8.476500589108,-1.4327455358,-3.40,true,0.000,0.000,0.001,0.001,0.000,44,23,0,0.012,0.060,0.117,328,0,0,0,-0.0001,0.0002,0.0000,0.0000
37,2022-03-23T11:16:10.608192Z,46.510714751731,8.476397309280,-1.4032832829,-4.12,true,0.000,0.000,0.001,0.000,0.000,45,12,0,0.010,0.024,0.046,337,0,0,0,-0.0000,0.0000,-0.0000,0.0000
38,2022-03-23T11:19:06.773584Z,46.510631985018,8.476286222378,-1.4063111945,-4.23,true,0.000,0.000,0.001,0.001,-0.000,40,12,0,0.010,0.022,0.038,337,0,0,0,0.0000,0.0001,-0.0000,0.0000
39,2022-03-23T11:19:41.531888Z,46.510631828612,8.476317969430,-1.4103513534,-4.49,true,0.000,0.000,0.001,0.001,-0.000,38,7,0,0.012,0.017,0.023,214,0,0,0,-0.0000,0.0000,-0.0000,0.0000
40,2022-03-23T11:20:56.587028Z,46.510687112201,8.476322461286,-1.3969321619,-3.59,true,0.001,0.000,0.049,-0.003,0.007,40,6,0,0.007,0.016,0.031,171,0,0,0,-0.0000,0.0001,0.0000,0.0000
41,2022-03-23T11:21:21.353721Z,46.510686981685,8.476276311691,-1.3946743980,-4.45,true,0.000,0.000,0.000,0.000,-0.000,30,6,0,0.008,0.022,0.034,160,0,0,0,-0.0001,0.0001,-0.0000,0.0000
42,2022-03-23T11:21:24.30819Z,46.510666291901,8.476320893174,-1.4032383575,-4.30,true,0.000,0.000,0.000,0.000,0.000,62,10,0,0.012,0.026,0.040,378,0,0,0,-0.0000,0.0000,0.0000,0.0000
43,2022-03-23T11:22:52.799102Z,46.510741793480,8.476296769743,-1.3918998189,-3.95,true,0.000,0.000,0.002,-0.001,0.000,46,11,0,0.004,0.024,0.054,283,0,0,0,0.0001,0.0001,-0.0000,0.0000
44,2022-03-23T11:23:44.909404Z,46.510669888292,8.476267217907,-1.3965780050,-4.17,true,0.000,0.000,0.000,0.001,-0.000,37,6,0,0.010,0.019,0.046,188,0,0,0,-0.0000,0.0000,0.0000,0.0000
45,2022-03-23T11:23:44.950434Z,46.510669131534,8.476264596206,-1.3970417675,-4.17,true,0.000,0.000,0.000,-0.000,0.000,44,16,0,0.011,0.027,0.051,495,0,0,0,-0.0000,0.0000,-0.0000,0.0000
