Time,Eastern Bedretto,Northern Bedretto,Depth,Latitude,Longitude,Mw,MwA,Class
2022/07/06T10:43:55.634592,-90.8374988518,-44.6411455309,1392.37918151,46.51057260033918,8.47618555632546, ,-4.66502374731,relocated
2022/07/06T10:44:54.062240,-90.242449338,-44.6442648095,1393.81799682,46.510572501795195,8.47619330839377,-4.4007529908515135,-4.35851061818,relocated
2022/07/06T10:45:12.991180,-90.3064774442,-43.6435615917,1393.36252215,46.51058151046708,8.476192646536397, ,-4.25968832042,relocated
2022/07/06T10:46:23.977541,-90.3052330606,-44.0717633535,1392.16216646,46.51057765848308,8.47619258877787,-3.984144968332161,-4.037630872,relocated
2022/07/06T10:46:50.867988,-89.8791296667,-44.0527789538,1392.71103864,46.510577778674666,8.476198143456038,-4.209338494018297,-4.22918333517,relocated
2022/07/06T10:47:02.348165,-88.047528222,-40.4914301892,1393.05398195,46.51060959459587,8.476222619292365, ,-4.38340179627,relocated
2022/07/06T10:47:22.019321,-86.718338169,-38.5539254324,1394.79997642,46.5106268643591,8.476240270188066, ,-4.42572922788,relocated
2022/07/06T10:47:48.203505,-87.2046182532,-41.1251523286,1395.45759176,46.51060379459989,8.476233492047863,-4.325688482289468,-4.21727165283,relocated
2022/07/06T10:47:53.822333,-91.5321350223,-40.270373457,1394.00989118,46.51061199759188,8.476177259739439,-4.396999765423411,-4.48181228455,relocated
2022/07/06T10:48:11.210094,-91.6253859104,-44.9875593328,1392.79358762,46.51056957819626,8.4761752320609, ,-4.43419428612,relocated
2022/07/06T10:48:49.422645,-92.2834917826,-44.7727018011,1393.2741197,46.51057158916601,8.47616669529379, ,-4.56411198454,relocated
2022/07/06T10:48:51.616152,-87.6040565497,-41.4666638379,1395.02409864,46.51060076034213,8.476228220648995,-3.8227562749237634,-3.79121988868,manuallyRelocated
2022/07/06T10:49:00.086945,-91.8187944776,-44.501452265,1392.0094336,46.510573973489855,8.47617279591903,-4.3782336382829,-4.25659318172,relocated
2022/07/06T10:49:01.873945,-90.4543922219,-43.8917306249,1392.49796162,46.51057929565189,8.476190676589843,-4.179312690593479,-4.24193186265,relocated
2022/07/06T10:49:03.755820,-89.7514437609,-44.0409154808,1392.32301109,46.510577860276,8.476199800364718,-3.8790546563452972,-3.85256409184,manuallyRelocated
2022/07/06T10:49:28.714148,-92.1249662959,-45.7883084882,1392.8571194,46.51056243502889,8.476168585557796, ,-4.51658501845,relocated
2022/07/06T10:49:42.348426,-91.7377964352,-45.3457054715,1392.32608388,46.5105663700123,8.47617370579168,-4.284403002580343,-4.2756640733,relocated
