Time,Eastern Bedretto,Northern Bedretto,Depth,Latitude,Longitude,MwA
2023/03/14T11:39:48.942250,-110.39994225,-55.6915354077,1369.7305612999999,46.51047497373,8.47592830734,-4.15
2023/03/14T11:40:40.428424,-104.55697282,-76.8754106173,1375.9432966,46.510283732548,8.47600078032,-3.94
2023/03/14T11:41:18.286693,-104.391952239,-57.3148618152,1365.3530629,46.510459658667,8.476006300988,-4.42
2023/03/14T11:42:00.394975,-94.0749817113,-54.3171672891,1373.8977885999998,46.510485393804,8.476141226001,-4.36
2023/03/14T11:42:00.447824,-104.326321156,-76.8982055264,1375.996669,46.510283500074,8.476003781319,-4.43
2023/03/14T11:43:16.573152,-104.86223209,-57.2899733596,1364.6627022,46.510459938593,8.476000178559,-3.87
2023/03/14T11:43:34.502194,-107.680538392,-58.5890503817,1363.3811989,46.510448589005,8.475963237979,-3.48
2023/03/14T11:44:53.508313,-104.900586583,-57.4912252242,1364.4970858000001,46.510458132962,8.475999644241,-4.18
2023/03/14T11:44:57.837788,-104.915114781,-56.3562852242,1369.6180347,46.510468342258,8.475999649556,-4.06
2023/03/14T11:45:40.204091,-103.952976615,-77.8638134596,1379.347505,46.510274769544,8.476008478372,-3.72
2023/03/14T11:45:57.058981,-102.823826259,-55.4525181125,1371.2418949,46.510476222478,8.476027050376,-4.42
2023/03/14T11:46:01.581829,-103.811554704,-57.0672808834,1366.062332,46.510461816456,8.476013904962,-4.63
2023/03/14T11:46:20.480641,-104.401959785,-75.6186786669,1376.5776579,46.510295018069,8.476003016172,-4.37
2023/03/14T11:46:27.744244,-104.970363371,-57.4174114803,1364.7278756,46.510458805155,8.475998747858,-4.6
2023/03/14T11:47:04.933046,-101.585463832,-53.4172793655,1373.7010182,46.510494381339,8.476043533965,-4.39
2023/03/14T11:47:07.152395,-116.558623344,-52.1342791107,1358.3862095999998,46.510507705124,8.47584868618,-4.59
2023/03/14T11:47:27.809855,-112.235037737,-61.0600499639,1366.8640395,46.510426903664,8.47590347555,-4.46
2023/03/14T11:47:37.633995,-102.775158733,-55.7858698384,1367.6491651000001,46.510473218963,8.476027627624,-4.57
2023/03/14T11:47:53.856903,-111.661879565,-61.0037141002,1366.8885011,46.510427342241,8.475910952383,-3.97
2023/03/14T11:48:27.707618,-93.9415196115,-59.8164384502,1378.9702128000001,46.510435911966,8.476142016602,-4.89
2023/03/14T11:48:30.299631,-104.470350463,-57.1913929093,1365.1122765,46.510460778618,8.476005300918,-4.12
2023/03/14T11:48:41.833527,-104.014057654,-55.755267424,1371.0009145,46.510473640885,8.476011491862,-3.58
2023/03/14T11:49:06.376322,-103.455299169,-70.4643153923,1372.3632997,46.510341268911,8.476016237768,-4.38
2023/03/14T11:49:23.912237,-104.060248508,-56.2942577037,1370.8764274,46.510468798281,8.476010797274,-4.34
2023/03/14T11:49:26.927679,-104.37600962,-57.1938600785,1365.0563958999999,46.510460745219,8.476006529581,-4.36
2023/03/14T11:49:42.516365,-111.711969679,-60.8375885768,1366.8644954,46.510428842471,8.47591032842,-4.22
2023/03/14T11:51:44.162815,-103.32452903,-56.7009749077,1364.2534397,46.510465053757,8.476020313365,-4.47
2023/03/14T11:53:05.490357,-100.353860701,-52.4288361913,1375.0453843999999,46.510503125483,8.476059749395,-4.29
2023/03/14T11:53:56.800836,-105.213654771,-57.0650934153,1368.3746511999998,46.510462002401,8.475995638294,-4.03
2023/03/14T11:53:59.572828,-104.697709459,-76.8734126936,1375.9290278,46.510283767257,8.475998947147,-4.41
2023/03/14T11:54:00.281352,-103.103179853,-55.4341114496,1369.4237460000002,46.510476421622,8.476023414423,-4.54
2023/03/14T11:54:02.584468,-99.2857662388,-53.4914629792,1368.7069086000001,46.510493441583,8.476073482668,-4.08
2023/03/14T11:54:02.792030,-100.05415968,-52.2454590432,1375.0835187999999,46.51050473928,8.4760636855,-4.33
2023/03/14T11:54:03.855513,-100.001180544,-52.0718374841,1374.9962424,46.510506294692,8.476064405636,-4.2
2023/03/14T11:54:04.290539,-100.760247119,-78.1109083323,1375.6243129000002,46.510272168043,8.476050031387,-4.59
2023/03/14T11:54:05.236129,-100.285926873,-52.4475494488,1375.1008833,46.510502949071,8.476060631209,-4.17
2023/03/14T11:54:10.919857,-102.650618856,-55.4856715852,1371.0624888,46.510475903707,8.476029301254,-4.38
2023/03/14T11:54:15.790932,-102.122343644,-55.2615724616,1371.3119677,46.510477856569,8.476036222213,-4.29
2023/03/14T11:54:19.181502,-99.6720401216,-53.7215065362,1369.494516,46.510491418162,8.476068410506,-4.15
2023/03/14T11:54:19.659472,-100.086404428,-53.8281994706,1368.9748610000001,46.510490507857,8.476062993852,-4.24
2023/03/14T11:54:20.523662,-102.469345545,-54.9890180079,1368.9773349,46.510480349874,8.476031748796,-4.44
2023/03/14T11:54:38.134261,-104.768864277,-56.3451032455,1369.5118684000001,46.510468425468,8.476001556861,-4.15
2023/03/14T11:54:48.680204,-101.625889983,-54.7310971785,1370.6453356999998,46.510482569195,8.476042781527,-4.1
2023/03/14T11:55:03.169933,-100.40703503,-54.3498318947,1369.1138403,46.510485853968,8.476058726784,-4.01
2023/03/14T11:55:07.369091,-102.341059864,-53.432914594,1373.5474731,46.510494330586,8.476033687341,-4.13
2023/03/14T11:55:08.267299,-101.624575746,-53.3707427196,1373.786155,46.510494804562,8.476043032413,-4.13
2023/03/14T11:55:09.619377,-100.467785886,-52.3619401453,1374.3425864,46.510503740888,8.476058276813,-4.14
2023/03/14T11:55:23.504304,-99.8671364486,-53.6409919357,1369.4754433,46.510492165581,8.476065882649,-4.1
2023/03/14T11:55:26.118091,-101.016023031,-54.5366149188,1369.3451181,46.510484246262,8.476050760636,-4.33
2023/03/14T11:55:38.473083,-102.091045615,-51.1475945769,1373.9900943,46.510514856813,8.476037338086,-3.88
2023/03/14T11:55:41.948708,-98.8759187735,-54.9484507418,1369.7729093,46.510480287288,8.476078571047,-4.03
