Time,Eastern Bedretto,Northern Bedretto,Depth,Latitude,Longitude,Mw,MwA,Class
2022/03/16T09:18:30.121617,-92.5285050037,-44.3224848982,1391.29733523,46.51057566753521,8.476163580453221,-3.6069458128078824,-3.57239507271,relocated
2022/03/16T09:18:48.515900,-91.1034317178,-44.2277864268,1391.06307491,46.51057634979833,8.47618216270787, ,-4.45526260184,relocated
2022/03/16T09:21:21.742882,-88.7409030306,-42.6179782762,1395.26844343,46.51059053973591,8.47621321141298, ,-3.19082291957,manuallyRelocated
2022/03/16T09:23:09.865290,-89.1563071283,-42.6382705241,1395.14576127,46.51059041643844,8.476207804544599,-4.318182031433263,-4.3629826349,relocated
2022/03/16T09:25:02.655644,-91.1386352569,-44.4773024192,1391.5061906,46.51057410972102,8.476181661167239,-4.0629627023223085,-4.43543204179,relocated
2022/03/16T09:27:51.546034,-89.1431059247,-43.7941833083,1392.96304838,46.51058001720715,8.476207777030167, ,-4.50590398139,relocated
2022/03/16T09:29:45.784148,-90.7163155297,-44.6746145843,1391.5904312,46.510572284722194,8.476187129211151,-3.9803917429040587,-3.88607290868,relocated
2022/03/16T09:29:59.367958,-89.0215749254,-42.5405990679,1394.88899928,46.51059127890044,8.47620957662954,-4.490830401125968,-4.43447753078,relocated
2022/03/16T09:30:09.984754,-92.3622452744,-44.2046019076,1390.77141494,46.51057670799421,8.476165766715669,-3.905327234342013,-3.94907452231,relocated
2022/03/16T09:32:48.654157,-89.046113902,-42.6086376115,1394.54864187,46.5105906697571,8.476209245154067,-4.29566267886465,-4.18612765122,relocated
2022/03/16T09:33:52.938408,-88.8347647617,-43.1083907874,1395.66752733,46.51058614965085,8.476211912732051,-4.385740089139104,-4.37909665914,relocated
2022/03/16T09:34:03.585355,-93.1596674272,-46.4487001642,1388.40965445,46.51055661710091,8.476154990858625,-4.502090077410275,-4.36866419254,relocated
