Time,Eastern Bedretto,Northern Bedretto,Depth,Latitude,Longitude,Mw,MwA,Class
2021/11/17T11:04:57.259719,-107.723662059,-98.9015761159,1357.34629755,46.51008653860198,8.475956210875287,-3.8959441707717577,-3.81963372493,relocated
2021/11/17T11:05:59.948416,-113.980790745,-102.134940396,1350.80178408,46.51005819775619,8.475874135233294,-3.727049026507155,-3.83853259527,relocated
2021/11/17T11:07:37.970568,-107.971012289,-98.9248138263,1357.35999552,46.51008635899723,8.475952984403706,-4.044196575181797,-3.92818048784,relocated
2021/11/17T11:14:56.964381,-121.35282016,-69.9782779754,1348.0818554,46.51034831715838,8.475783629409694, ,-4.04038248608,relocated
2021/11/17T11:16:16.450208,-120.375849225,-71.0781467315,1336.03785742,46.51033830550122,8.475796165952442, ,-4.06444250283,relocated
2021/11/17T11:16:50.695473,-110.505568578,-96.739086604,1356.33591618,46.51010632039264,8.475920340518014, ,-4.12050987947,relocated
2021/11/17T11:18:16.964141,-141.35038312,-80.165528459,1312.55108357,46.51025904492223,8.475521331995823,-3.4324208304011266,-3.29511824592,manuallyRelocated
2021/11/17T11:18:54.598399,-136.890755208,-74.1136922496,1305.30482923,46.510312948608814,8.475580472734846,-3.62008210180624,-3.35904647143,manuallyRelocated
2021/11/17T11:19:01.022972,-115.476738598,-70.3640048816,1346.3630963,46.510344148657616,8.475860116486382, ,-4.18157822297,relocated
2021/11/17T11:19:27.449178,-120.718840818,-70.2214971829,1347.34316805,46.510346053926405,8.47579184690628, ,-4.30884923549,relocated
2021/11/17T11:19:27.539070,-108.771317711,-96.7813530173,1358.09173182,46.510105734351775,8.47594292732153,-4.057332864180156,-3.85552959534,relocated
2021/11/17T11:19:30.961412,-160.455356912,-80.6957935886,1287.21052778,46.51025654075282,8.475272336480009,-3.5787966220971152,-2.99916902532,manuallyRelocated
2021/11/17T11:19:51.156153,-140.977306038,-80.3927810937,1312.64349054,46.51025695650047,8.475526153343369,-3.310441003987803,-3.18282300517,manuallyRelocated
2021/11/17T11:20:00.965509,-106.027016436,-95.6736905556,1356.72085362,46.51011537098965,8.475978870547493, ,-4.24933466273,relocated
