Time,Eastern Bedretto,Northern Bedretto,Depth,Latitude,Longitude,Mw,MwA,Class
2022/03/09T10:21:22.276592,-99.2977458779,-50.7101342492,1374.61831033,46.51051900365755,8.476074278496716,-3.608822425521933,-3.86775352124,manuallyRelocated
2022/03/09T10:34:16.835377,-98.5875716922,-50.0325138127,1376.83839452,46.51052502456285,8.476083656370985,-4.453298146844945,-4.37338173487,relocated
2022/03/09T10:48:53.126192,-102.416639232,-50.8255447477,1372.04691506,46.51051834579003,8.476033633567567,-4.201832043162093,-4.24264229948,relocated
2022/03/09T11:25:37.702174,-99.0856114635,-49.5283382204,1378.96079219,46.510529609334384,8.476077246505918,-3.9203401360544223,-3.70320671049,manuallyRelocated
2022/03/09T11:33:34.576208,-98.509043869,-50.0419553628,1376.88131232,46.51052493030762,8.476084677818667,-4.385740089139104,-4.37052668023,relocated
2022/03/09T11:34:12.368772,-98.5386698436,-49.8575173509,1376.70069618,46.510526592782085,8.476084323586704,-4.269390100867934,-4.27250205551,relocated
2022/03/09T11:49:47.373686,-103.791945632,-51.6160073676,1371.69274231,46.51051139919364,8.476015579765713,-4.183065916021581,-4.2816892239,relocated
2022/03/09T12:03:21.958218,-103.749131146,-51.9160154991,1372.2189921,46.51050869568681,8.476016085975,-4.074222378606615,-4.24314766404,relocated
2022/03/09T12:03:26.958194,-103.594044954,-51.6694594904,1372.43871208,46.510510895015805,8.476018148952646,-3.8828078817733997,-4.09599964957,relocated
2022/03/09T12:03:38.974610,-91.9958176995,-55.7756577581,1388.26551729,46.51047258433507,8.476168546907408,-4.505843302838377,-4.08446656492,relocated
2022/03/09T12:23:20.276154,-98.8162909928,-50.3605810867,1374.99422814,46.510522090645395,8.47608061120105,-3.661367581515365,-3.86075083428,manuallyRelocated
2022/03/09T12:23:46.773738,-98.775607071,-50.0191904862,1376.79607884,46.510525166756835,8.476081208919114, ,-4.28304417413,relocated
2022/03/09T12:23:49.352233,-102.609453131,-52.3088444096,1374.52677646,46.51050502719312,8.47603086652201,-4.404506216279616,-4.35526503516,relocated
2022/03/09T12:26:32.971847,-90.0374330699,-43.7098201427,1389.33270277,46.510580881687225,8.476196139562651,-4.0967417311752286,-4.05609791593,relocated
2022/03/09T12:28:17.970292,-89.2798448703,-42.9889931965,1389.66338981,46.510587275358745,8.476206133721284, ,-4.31055011304,relocated
2022/03/09T12:29:39.198161,-90.0078738166,-43.6073258801,1389.45447825,46.51058180011333,8.476196542340368,-4.276896551724138,-4.16672740469,relocated
2022/03/09T12:30:06.673397,-90.032642931,-43.6192152443,1389.37680858,46.510581696101134,8.476196217584612,-4.179312690593479,-4.08554380658,relocated
2022/03/09T12:30:44.650707,-89.5134445223,-43.3088887743,1390.25251435,46.510584425854915,8.47620303535801,-4.50959652826648,-4.30565760682,relocated
2022/03/09T12:33:43.053167,-103.718546889,-52.9533650837,1374.08667388,46.510499361644804,8.476016306083539,-4.306922355148957,-4.31612330748,relocated
2022/03/09T12:34:00.751123,-91.8391524645,-47.3876170887,1383.58688406,46.510548013706654,8.476172032070474,-4.284403002580343,-4.16016516721,relocated
2022/03/09T12:34:26.068282,-87.5329446965,-41.2397456786,1395.99065745,46.51060280300928,8.47622919493029, ,-4.56389924589,relocated
2022/03/09T12:35:05.514306,-89.8389713602,-42.9486307786,1387.02157723,46.51058770438849,8.476198855867775, ,-4.33279435947,relocated
2022/03/09T12:36:45.850538,-89.8788701148,-42.9746168827,1386.818942,46.51058747535335,8.476198331551721, ,-4.25217675546,relocated
2022/03/09T12:37:35.399270,-97.1824091836,-50.7093022314,1383.03406899,46.51051876124675,8.476101838856824,-3.856535303776684,-3.94238690912,manuallyRelocated
2022/03/09T12:38:33.671860,-93.4798911638,-49.0827065581,1381.3381924,46.51053296136785,8.47615036401304,-4.006664320900775,-4.06163988992,relocated
2022/03/09T12:39:12.679378,-89.3042723284,-41.751890431,1384.42612603,46.510598404746275,8.476206027686636,-4.168053014309172,-4.01938245558,relocated
2022/03/09T12:39:29.524122,-89.307004235,-42.0836632997,1387.00066449,46.51059542134289,8.476205935385433, ,-4.36838105882,relocated
2022/03/09T12:40:17.043534,-91.8280752806,-47.4419113415,1383.59598273,46.51054752402391,8.476172167033763,-4.1980788177339905,-4.13186955404,relocated
2022/03/09T12:44:27.125656,-89.8599380153,-43.676155094,1390.41195133,46.51058116360163,8.476198457969529,-4.190572366877786,-4.15370272463,relocated
2022/03/09T12:52:58.111664,-94.8344723489,-45.160654037,1386.6910405,46.510568391842455,8.476133384361356,-3.591932911095473,-3.6225517971,manuallyRelocated
2022/03/09T16:24:24.507397,-91.7788462907,-47.4604011085,1383.43388768,46.51054735182478,8.476172805180132,-4.201832043162093,-4.09342440239,relocated
2022/03/09T16:29:07.104949,-92.4546647425,-47.8081996274,1381.45164882,46.510544303422755,8.47616394030864, ,-4.34601142932,relocated
