Time,Eastern Bedretto,Northern Bedretto,Depth,Latitude,Longitude,MwA
2022/03/30T09:16:53.731808,-79.8574756142,-27.7022464918,1416.4637234,46.510723090808,8.476331030668,-4.53
2022/03/30T09:17:04.843150,-74.7177907936,-30.0483030481,1412.9520237,46.510701377761,8.476397587501,-4.32
2022/03/30T09:17:58.373758,-75.7165525081,-29.7361816834,1414.0737386,46.510704303824,8.476384629099,-4.51
2022/03/30T09:18:44.110438,-73.968678494,-29.1196907389,1411.5805075,46.510709641621,8.476407507261,-4.63
2022/03/30T09:20:04.606649,-72.8320735553,-29.4269579723,1412.18358,46.510706742478,8.47642226204,-4.74
2022/03/30T09:20:32.107615,-66.9569313247,-31.4438739261,1399.9519568,46.510687904169,8.476498458659,-4.22
2022/03/30T09:22:03.323844,-73.2011868879,-26.0803703042,1414.4798013,46.510736887889,8.476418029414,-4.36
2022/03/30T09:22:21.972287,-74.0547171286,-28.4918641003,1413.7823174999999,46.510715298608,8.476406494134,-4.55
2022/03/30T09:24:07.093719,-74.9217500403,-31.8212895603,1407.1888982,46.510685455469,8.476394625808,-4.45
2022/03/30T09:28:11.923494,-75.309173645,-28.0883310549,1415.7387202,46.510719077155,8.476390220112,-4.28
2022/03/30T09:28:26.230191,-73.3213689052,-28.9514815896,1412.9830497,46.510711077351,8.476415969229,-4.73
2022/03/30T09:28:32.749523,-74.0053328318,-27.2528495085,1411.7801674999998,46.510726437844,8.476407351346,-4.54
2022/03/30T09:28:36.291773,-71.5452730469,-29.1488662441,1411.6878368,46.510709090882,8.476439074633,-4.3
2022/03/30T09:28:40.746831,-76.8793135411,-22.4253531154,1408.6061708,46.510770202816,8.476370741063,-4.49
2022/03/30T09:28:54.437102,-80.1382209556,-30.7736659865,1412.3559420000001,46.510695498148,8.476326844627,-4.21
2022/03/30T09:29:25.224771,-69.620538373,-25.0312859947,1407.0801189,46.510745899717,8.4764648606,-4.31
2022/03/30T09:29:35.288925,-69.0638594041,-25.0116675873,1407.8040318,46.510746009812,8.476472116341,-4.32
2022/03/30T09:29:43.263372,-69.0118058957,-24.972407257,1407.6578949,46.510746356788,8.476472801291,-4.22
2022/03/30T09:29:54.189939,-81.9587123184,-19.3287001858,1417.4458622,46.510798659101,8.476305097946,-4.73
2022/03/30T09:30:11.102859,-76.8447596356,-23.7837661875,1418.0554744,46.510757978152,8.47637095556,-4.64
2022/03/30T09:31:33.962880,-75.5359155838,-25.0646871654,1410.479005,46.510746302304,8.476387787961,-4.49
2022/03/30T09:32:36.373026,-75.1942022475,-29.2637733649,1414.549547,46.510708490821,8.476391515653,-4.51
2022/03/30T09:34:12.506688,-81.2808195162,-18.5606734974,1415.4561035,46.510805487124,8.476314062292,-4.27
2022/03/30T09:34:23.112946,-71.1753986469,-26.0097462786,1407.2196793,46.510737283587,8.476444435061,-4.44
2022/03/30T09:34:39.838828,-71.5354900369,-25.4140548175,1406.4281970000002,46.510742684719,8.476439846522,-4.3
2022/03/30T09:34:56.490481,-74.6127462443,-25.623636283,1417.201073,46.510741163508,8.476399717665,-4.26
2022/03/30T09:35:03.040344,-69.9952801606,-24.3646284218,1404.8858859,46.510751941198,8.476460093665,-4.22
2022/03/30T09:35:05.488386,-73.2058085995,-29.9976001261,1411.7928364000002,46.510701654191,8.47641729472,-4.55
2022/03/30T09:35:07.744894,-75.3133292748,-24.4561090672,1417.0465832,46.510751748576,8.476390791568,-4.5
2022/03/30T09:35:09.153853,-79.6959670074,-16.707283952,1405.3489411,46.510821971516,8.476335031038,-4.35
2022/03/30T09:35:10.514161,-68.6160337077,-43.0292700639,1424.485858,46.510583888129,8.47647484316,-4.36
2022/03/30T09:35:10.645792,-80.4007895733,-13.6646851778,1404.4919238,46.510849423155,8.476326372853,-4.35
2022/03/30T09:35:12.983136,-69.5812126184,-24.7081545421,1405.4950804,46.510748801862,8.476465428893,-4.31
2022/03/30T09:35:36.732944,-70.327167158,-25.5086429878,1406.3646782,46.510741690182,8.47645557242,-4.42
2022/03/30T09:35:43.948107,-74.5474085328,-27.3628618531,1413.9915877,46.510725512349,8.47640026978,-4.28
2022/03/30T09:36:28.425839,-70.5792746893,-23.4725133239,1405.4500595999998,46.510760034976,8.476452638929,-4.52
2022/03/30T09:37:08.448333,-70.3069811719,-24.816253538,1406.3873254999999,46.510747915695,8.476455954706,-4.02
2022/03/30T09:37:15.943010,-71.8972590915,-30.1172955083,1409.518574,46.510700422337,8.476434322426,-4.03
2022/03/30T09:37:18.303417,-70.9483801392,-25.3948370651,1406.6100384,46.510742787699,8.476447498745,-4.41
2022/03/30T09:37:41.882394,-74.4537818511,-25.9364972706,1417.4608296,46.510738330418,8.476401734723,-4.46
2022/03/30T09:38:22.607792,-80.2521935855,-20.8326881942,1416.2854902,46.510784928241,8.476327071797,-4.26
2022/03/30T09:38:23.861852,-70.170485226,-24.7676605352,1407.1054266,46.5107483364,8.476457741242,-4.47
2022/03/30T09:38:36.445189,-73.575160509,-28.8605669579,1410.1996794,46.510711925854,8.476412678946,-4.48
2022/03/30T09:38:42.480426,-71.4806353608,-25.3832144605,1406.3163715,46.510742955619,8.476440566509,-4.23
2022/03/30T09:38:49.223889,-60.4091723762,-26.4506636369,1396.1075386,46.510732038948,8.476584624753,-4.38
2022/03/30T09:38:58.530151,-66.5525762406,-23.7898765558,1407.021866,46.510756700996,8.476505044331,-4.48
2022/03/30T09:38:59.990197,-75.5407065256,-28.5337485129,1417.057083,46.510715097986,8.476387126702,-4.42
2022/03/30T09:39:07.639960,-70.8245836385,-25.0098909442,1406.4741887,46.51074623552,8.476449177934,-4.25
2022/03/30T09:39:08.439728,-82.1445349064,-19.8226631398,1415.8489694,46.510794238412,8.476302592197,-4.23
2022/03/30T09:39:09.711131,-70.8295754306,-25.136674261,1405.4979243,46.510745095914,8.476449091223,-4.35
2022/03/30T09:39:14.278217,-81.4103098852,-25.5771845549,1414.8631691,46.510742390384,8.476311166541,-4.32
2022/03/30T09:39:49.127536,-71.4937794064,-25.9033591265,1407.359688,46.510738278368,8.476440305463,-4.33
2022/03/30T09:40:02.843527,-80.8045143466,-25.7253406001,1413.8422299,46.510740985891,8.476319033574,-4.49
2022/03/30T09:40:11.711552,-76.5098232911,-23.7166865533,1415.7381427,46.510758542138,8.476375331112,-4.45
2022/03/30T09:40:12.146881,-70.9316238211,-25.4860367635,1406.2803408,46.510741965446,8.476447701391,-4.25
2022/03/30T09:41:06.580291,-70.6728304643,-25.0448385568,1406.3652476,46.510745903141,8.476451148991,-4.15
2022/03/30T09:41:10.380193,-69.6391745708,-24.1706087757,1407.0866033,46.51075364357,8.476464766107,-4.35
