Time,Eastern Bedretto,Northern Bedretto,Depth,Latitude,Longitude,MwA
2022/03/02T10:50:08.433690,-106.034351581,-58.03603252,1366.858564,46.510453366867,8.475984779243,-4.65
2022/03/02T10:50:11.066734,-108.942890577,-58.5314917434,1368.4949978,46.510449255824,8.475946801012,-4.58
2022/03/02T11:08:56.351504,-113.613466016,-58.8406185755,1357.0699255,46.510447032888,8.475885901215,-4.46
2022/03/02T11:10:27.281854,-109.151554921,-59.2237184048,1367.4451046,46.510443054388,8.475943963485,-4.57
2022/03/02T11:14:04.165914,-110.886152048,-59.1401808478,1368.0368456,46.510444011927,8.475921379339,-4.2
2022/03/02T11:15:57.131496,-110.462533231,-59.4406817995,1363.926438,46.510441259419,8.475926847226,-4.36
2022/03/02T11:16:00.654105,-106.619200787,-67.3874176014,1365.9625865,46.510369322549,8.475975549383,-4.67
2022/03/02T11:22:06.150085,-114.446365417,-59.8825648627,1366.0179087,46.510437758025,8.475874869176,-4.36
2022/03/02T11:24:21.732531,-107.733366987,-61.2612376057,1362.7276022,46.510424559569,8.47596208962,-4.17
2022/03/02T11:24:39.060390,-108.803090154,-60.4563633795,1362.5524049,46.510431926501,8.475948291858,-4.36
2022/03/02T11:27:12.985051,-112.354321821,-61.2557021687,1367.2139605,46.510425157921,8.475901887756,-4.43
2022/03/02T11:29:41.440720,-111.250634456,-59.7864424216,1367.9828345,46.510438242268,8.475916519553,-4.36
2022/03/02T11:29:59.441342,-114.068349073,-60.4017166842,1364.5116214,46.5104330437,8.47587970485,-4.35
2022/03/02T11:30:01.956801,-110.212317507,-60.2396866849,1366.8450715,46.510434042183,8.475929968943,-4.67
2022/03/02T11:30:14.578095,-116.386216603,-60.95043581,1366.1788053999999,46.510428383325,8.475849412764,-4.31
2022/03/02T11:35:24.579624,-98.6029645903,-62.3026106593,1364.7411126,46.51041410647,8.476080861263,-4.71
