ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type ,Loc,,,,,,,,,,,,,CAT-ID,ALQ,FMQ,FMT,ScR,ME,Mw,M0,,EvID_DD,,,FMCAT-OT,FMCAT-LOC,FMCAT-MAG,MiDis,Depi,Ddep,Dmag,Region,Ref,,,,,,,,,,,,,,,,,
KP198401111411,47.328266,8.809402,8.4,703613,242838,-8400,1984,1,11,14,11,57.6,3.2,0,36,76,5,304,85,166,351,6,259,13,,,,,,,,,,,,,,,,ABSRELOC,A,1,SS,0.106,FM,3.01,36728000000000,,198400010,,,1984,1,11,14,11,0,47.335,8.815,11,3.2,12.1,0.9,-2.6,0,Wetzikon,5,7,,,,,,,,,
KP198404101650,47.423037,7.567345,20.193,609713,252478,-20193,1984,4,10,16,50,53.4,2.6,0,300,62,-176,208,87,-28,160,22,257,17,,,,,,,,,,,,,,,,DDR-NW0,B,1,SS,-0.178,FM,2.56,7762500000000,,198400108,,,1984,4,10,16,50,0,47.432,7.565,22,2.6,5.8,1,-1.8,0,Breitenbach,5,7,,,,,,,,,
KP198404120050,47.424411,7.750852,19.643,623559,252670,-19643,1984,4,12,0,50,40.7,2.5,0,162,42,-30,275,71,-128,143,49,32,17,,,,,,,,,,,,,,,,DDR-NW0,A,1,SS,-0.456,FM,2.49,6095400000000,,198400109,,,1984,4,12,0,50,0,47.435,7.748,21,2.5,8.2,1.2,-1.4,0,Bubendorf,5,7,,,,,,,,,
KP198406160641,47.740014,7.789876,10.472,626347,287774,-10472,1984,6,16,6,43,0.5,2.6,0,295,41,-118,150,55,-68,113,70,225,8,,,,,,,,,,,,,,,,DDR-NW0,D,1,NF,-0.722,FM,2.56,7746400000000,,198400185,,,1984,6,16,6,43,0,47.75,7.8,9,2.7,29.4,1.3,1.5,-0.1,Wies,14,18,,,,,,,,,
KP198409050516,47.240288,8.551855,10.968,684286,232749,-10968,1984,9,5,5,16,49.4,4,0,8,44,-26,117,72,-131,345,46,236,17,,,,,,,,,,,,,,,,DDR-NE0,A,1,SS,-0.417,FM,3.7,398110000000000,,198400271,,,1984,9,5,5,16,0,47.247,8.562,15,4,18.7,1.1,-4,0,Albis,5,7,,,,,,,,,
KP198409142230,47.240838,8.557918,21.4,684744,232817,-21400,1984,9,14,22,30,29.6,2.9,0,315,67,-158,216,70,-25,175,31,266,2,,,,,,,,,,,,,,,,DDR-NE0,A,1,SS,-0.261,FM,2.78,16596000000000,,198400278,,,1984,9,14,22,30,0,47.243,8.557,24,2.9,18.4,0.3,-2.6,0,Albis,5,7,,,,,,,,,
KP198501041657,46.013059,7.250581,9.974,585433,95741,-9974,1985,1,4,16,57,37.5,3.5,1,329,82,-40,65,50,-170,279,33,23,21,,,,,,,,,,,,,,,,DDR-SW0,D,1,ON,-0.444,FM,3.25,84140000000000,,198500008,,,1985,1,4,16,57,0,46.002,7.269,10,3.2,14.6,1.9,0,0.3,Mauvoisin,23,,,,,,,,,,
KP198501070952,47.1459,8.312487,27.765,666281,222027,-27765,1985,1,7,9,52,31.6,2.1,0,336,46,-125,201,54,-59,170,65,270,4,,,,,,,,,,,,,,,,DDR-NE0,A,1,ON,-0.633,FM,2.23,2483100000000,,198500015,,,1985,1,7,9,52,0,47.162,8.303,27,2.1,32.4,1.9,0.8,0,Hochdorf,5,7,,,,,,,,,
KP198502282132,47.661933,7.380971,16.551,595670,279034,-16551,1985,2,28,21,33,1.1,3.4,0,292,49,-169,195,82,-41,145,34,250,21,,,,,,,,,,,,,,,,DDR-NW0,D,1,SS,-0.289,FM,3.16,61660000000000,,198500059,,,1985,2,28,21,33,0,47.65,7.413,10,3.4,20.2,2.7,6.6,0,Sierentz,14,18,,,,,,,,,
KP198507070008,47.002461,7.772699,39.492,625407,205766,-39492,1985,7,7,0,8,57.4,2.5,0,124,80,169,216,79,10,170,1,80,15,,,,,,,,,,,,,,,,ABSRELOC,A,1,SS,0.117,FM,2.49,6095400000000,,198500209,,,1985,7,7,0,8,0,47.003,7.753,30,2.7,32.5,1.5,9.5,-0.2,Langnau,i.E.,5,7,,,,,,,,
KP198509151818,47.935959,7.722093,3.702,999000,999000,-3702,1985,9,15,18,18,36.9,2.5,0,180,44,-33,295,68,-129,160,51,52,14,,,,,,,,,,,,,,,,DDR-NW0,D,1,ON,-0.467,FM,2.3,3162300000000,,198500279,,,1985,9,15,18,18,0,47.954,7.733,14,2,53,2.2,-10.3,0.5,Munzingen,14,18,,,,,,,,,
KP198509292335,46.928173,8.313597,-0.64,666635,197824,640,1985,9,29,23,36,2.8,2.5,0,39,26,122,184,68,75,285,22,70,64,,,,,,,,,,,,,,,,ABSRELOC,B,1,OT,0.739,FM,2.49,6095400000000,,198500301,,,1985,9,29,23,36,0,46.922,8.308,1,2.5,24,0.8,-1.6,0,Kerns,28,,,,,,,,,,
KP198512211719,46.873299,8.318929,1.89,667109,191729,-1890,1985,12,21,17,19,22.1,2.9,0,320,46,-63,104,50,-115,307,71,211,2,,,,,,,,,,,,,,,,DDR-SW0,B,1,NF,-0.711,FM,2.78,16596000000000,,198500377,,,1985,12,21,17,19,0,46.88,8.311,2,2.9,18.4,1,-0.1,0,Sachseln,28,,,,,,,,,,
KP198601190654,46.202602,7.632856,1.263,614991,116812,-1263,1986,1,19,6,54,36.2,2.9,0,110,40,-80,277,51,-98,143,82,13,5,,,,,,,,,,,,,,,,DDR-SW0,B,1,NF,-0.9,FM,2.78,16596000000000,,198600016,,,1986,1,19,6,54,0,46.183,7.64,6,3,20.7,2.2,-4.7,-0.1,Vissoie,23,,,,,,,,,,
KP198601200348,47.908658,7.768304,22.322,999000,999000,-22322,1986,1,20,3,48,20.8,1.9,0,200,40,-48,330,61,-119,193,62,81,12,,,,,,,,,,,,,,,,ABSRELOC,D,1,ON,-0.606,FM,1.82,602560000000,,198600018,,,1986,1,20,3,48,0,47.945,7.726,12,1.4,43.6,5.1,10.3,0.5,Bad,Krotzingen,14,18,,,,,,,,
KP198601281149,46.437805,7.868667,7.836,633049,143031,-7836,1986,1,28,11,49,48.3,3.5,0,162,50,-33,275,65,-135,136,49,35,9,,,,,,,,,,,,,,,,DDR-SW0,B,2,ON,-0.433,FM,3.25,84140000000000,,198600025,,,1986,1,28,11,50,0,46.433,7.877,12,3.5,31.5,0.8,-4.2,0,Loetschental,up,,,,,,,,,,
KP198602150142,46.086106,7.632929,0.34,615028,103862,-340,1986,2,15,1,43,6.6,3.8,0,27,70,170,120,80,20,252,7,345,21,,,,,,,,,,,,,,,,DDR-SW0,C,1,SS,0.167,FM,3.52,213800000000000,,198600035,,,1986,2,15,1,43,0,46.051,7.638,5,3.6,18.4,3.9,-4.7,0.2,Zermatt,23,,,,,,,,,,
KP198602261306,46.05774,7.335618,4.819,592026,100696,-4819,1986,2,26,13,7,17.3,1.9,0,249,51,-133,125,55,-50,94,58,188,2,,,,,,,,,,,,,,,,DDR-SW0,C,1,ON,-0.539,FM,2.11,1640600000000,,198600044,,,1986,2,26,13,7,0,46.034,7.35,7,2.9,5.4,2.9,-2.2,-1,Dixence,23,,,,,,,,,,
KP198602271206,47.670592,8.965842,17.316,714696,281111,-17316,1986,2,27,12,7,6.7,4.1,0,304,38,-138,179,65,-60,131,58,247,15,,,,,,,,,,,,,,,,DDR-NE0,B,1,ON,-0.567,FM,3.8,562340000000000,,198600046,,,1986,2,27,12,7,0,47.68,8.955,17,4.2,30.5,1.3,0.3,-0.1,Steckborn,5,7,,,,,,,,,
KP198610072223,47.852219,7.95166,18.526,638400,300317,-18526,1986,10,7,22,23,37.2,2.3,0,297,42,-114,148,52,-70,116,74,224,5,,,,,,,,,,,,,,,,DDR-NW0,D,1,NF,-0.756,FM,2.36,3890500000000,,198600215,,,1986,10,7,22,23,0,47.86,7.954,18,2.1,38.8,0.9,0.5,0.2,Todtnau,14,18,,,,,,,,,
KP198610080311,47.257973,8.543488,24.261,683625,234706,-24261,1986,10,8,3,12,7.7,2,0,315,66,-160,217,72,-25,174,30,267,4,,,,,,,,,,,,,,,,DDR-NE0,A,1,SS,-0.25,FM,2.17,2018400000000,,198600216,,,1986,10,8,3,12,0,47.267,8.542,28,2,26.5,1,-3.7,0,Albis,5,7,,,,,,,,,
KP198610091008,46.338976,7.459564,6.973,601611,131954,-6973,1986,10,9,10,8,53.6,3.1,0,79,61,167,175,79,30,304,12,41,28,,,,,,,,,,,,,,,,DDR-SW0,A,1,SS,0.239,FM,2.93,27861000000000,,198600218,,,1986,10,9,10,8,0,46.319,7.472,4,3.6,4,2.4,3,-0.5,Zeuzier,20,,,,,,,,,,
KP198611010401,47.568937,7.776056,14.587,625392,268747,-14587,1986,11,1,4,1,9.1,1.2,0,296,81,-174,205,84,-9,160,11,251,2,,,,,,,,,,,,,,,,ABSRELOC,D,1,SS,-0.083,FM,1.7,398110000000,,198600244,,,1986,11,1,4,1,0,47.565,7.77,19,1.2,10.8,0.6,-4.4,0,Dinkelberg,14,18,,,,,,,,,
KP198701081923,47.246156,7.596649,6.05,611963,232816,-6050,1987,1,8,19,24,20.5,2.6,1,298,62,-174,205,85,-28,158,23,255,16,,,,,,,,,,,,,,,,DDR-NW0,A,1,SS,-0.067,FM,2.56,7762500000000,,198700043,,,1987,1,8,19,24,0,47.255,7.605,6,2.6,4.2,1.2,0,0,Guensberg,10,13,,,,,,,,,
KP198701290006,47.426704,9.288624,5.393,739573,254523,-5393,1987,1,29,0,7,0.5,3.2,0,10,45,-54,144,55,-121,357,65,255,6,,,,,,,,,,,,,,,,ABSRELOC,D,1,ON,-0.628,FM,3.01,36728000000000,,198700069,,,1987,1,29,0,7,0,47.426,9.287,8,3.2,20.2,0.1,-2.6,0,Herisau,10,,,,,,,,,,
KP198703220136,46.222884,7.920284,6.994,637162,119162,-6994,1987,3,22,1,36,46.8,2.1,0,311,51,-47,75,55,-130,286,58,192,2,,,,,,,,,,,,,,,,DDR-SE0,D,1,ON,-0.539,FM,2.23,2483100000000,,198700131,,,1987,3,22,1,36,0,46.192,7.872,4,2.1,18.9,5.1,3,0,Stalden,15,20,,,,,,,,,
KP198704110314,47.421946,7.872952,7.463,632774,252439,-7463,1987,4,11,3,14,39.8,3.3,1,190,76,-11,282,79,-166,146,18,56,2,,,,,,,,,,,,,,,,DDR-NW0,A,1,SS,-0.122,FM,3.09,48417000000000,,198700169,,,1987,4,11,3,14,0,47.428,7.87,7,3.4,6.1,0.7,0.5,-0.1,Laeufelfingen,10,13,,,,,,,,,
KP198704292041,46.49553,9.82714,2.323,783341,152148,-2323,1987,4,29,20,41,47.2,2.7,0,353,67,-12,88,79,-156,312,24,219,8,,,,,,,,,,,,,,,,DDR-SE0,D,1,SS,-0.2,FM,2.63,9885500000000,,198700210,,,1987,4,29,20,41,0,46.493,9.821,8,2.6,14.9,0.5,-5.7,0.1,S.Moritz,11,12,,,,,,,,,
KP198705052028,47.218891,8.564281,24.927,685261,230384,-24927,1987,5,5,20,29,3.3,2.3,0,304,75,-170,211,80,-15,167,18,258,4,,,,,,,,,,,,,,,,DDR-NE0,A,1,SS,-0.139,FM,2.36,3890500000000,,198700216,,,1987,5,5,20,29,0,47.225,8.564,29,2.3,29.2,0.7,-4.1,0,Albis,10,,,,,,,,,,
KP198705301945,45.92463,7.919366,3.924,637294,86007,-3924,1987,5,30,19,45,19.2,1.9,0,135,50,-10,231,82,-140,101,33,357,21,,,,,,,,,,,,,,,,DDR-SE0,D,1,SS,-0.278,FM,2.11,1640600000000,,198700276,,,1987,5,30,19,45,0,45.961,7.909,9,2.7,15.5,4.1,-5.1,-0.8,M.Rosa,23,,,,,,,,,,
KP198707180858,47.668012,7.46334,18.502,601857,279709,-18502,1987,7,18,8,59,7.7,2.8,0,299,80,177,30,87,10,164,5,255,9,,,,,,,,,,,,,,,,DDR-NW0,D,1,SS,0.072,FM,2.7,12589000000000,,198700352,,,1987,7,18,8,59,0,47.673,7.476,12,2.8,19.8,1.1,6.5,0,Sierentz,14,18,,,,,,,,,
KP198707261056,46.904125,9.125262,1.879,728499,196160,-1879,1987,7,26,10,56,50.3,2.4,1,90,72,144,193,56,22,145,10,47,38,,,,,,,,,,,,,,,,DDR-SE0,B,1,OT,0.4,FM,2.42,4786300000000,,198700383,,,1987,7,26,10,56,0,46.89,9.121,1,2.4,11.2,1.6,0.9,0,Steinibach,11,12,,,,,,,,,
KP198709201153,46.768473,7.212604,1.972,582735,179725,-1972,1987,9,20,11,53,57.6,3.9,1,7,84,2,277,88,174,322,3,232,6,,,,,,,,,,,,,,,,DDR-NW0,B,1,SS,0.022,FM,3.61,291740000000000,,198700518,,,1987,9,20,11,53,0,46.756,7.22,2,3.9,19.4,1.5,0,0,Fribourg,39,,,,,,,,,,
KP198710282348,47.088508,9.187741,4.299,732801,216757,-4299,1987,10,28,23,49,0.5,4.2,0,178,70,13,84,78,160,132,5,40,23,,,,,,,,,,,,,,,,DDR-SE0,B,1,SS,0.183,FM,3.9,794330000000000,,198700584,,,1987,10,28,23,49,0,47.078,9.196,7,4.2,21.1,1.3,-2.7,0,Muertschen,11,12,,,,,,,,,
KP198711011015,47.213048,9.616196,0.714,764939,231412,-714,1987,11,1,10,16,18.5,2.6,0,295,78,-169,203,79,-12,159,16,249,1,,,,,,,,,,,,,,,,ABSRELOC,D,1,SS,-0.128,FM,2.56,7762500000000,,198700587,,,1987,11,1,10,16,0,47.225,9.617,1,2.6,10.5,1.3,-0.3,0,Feldkirch,11,12,,,,,,,,,
KP198711052206,46.419329,8.104514,11.701,651192,141103,-11701,1987,11,5,22,6,58.7,3.5,0,249,84,-174,158,84,-6,114,8,204,0,,,,,,,,,,,,,,,,DDR-SW0,B,1,SS,-0.067,FM,3.25,84140000000000,,198700598,,,1987,11,5,22,7,0,46.413,8.103,13,3.5,38.2,0.7,-1.3,0,Fiesch,up,,,,,,,,,,
KP198711211401,47.700937,7.447664,12.895,600679,283370,-12895,1987,11,21,14,1,12.7,2.9,0,209,38,64,61,56,109,138,9,18,72,,,,,,,,,,,,,,,,ABSRELOC,D,1,TF,0.75,FM,2.7,12589000000000,,198700613,,,1987,11,21,14,1,0,47.679,7.476,12,2.8,20.7,3.2,0.9,0.1,Sierentz,14,18,,,,,,,,,
KP198712110225,47.294366,7.161703,7.001,579054,238202,-7001,1987,12,11,2,25,58,3.7,0,274,70,168,8,79,20,140,6,232,22,,,,,,,,,,,,,,,,DDR-NW0,B,1,SS,0.178,FM,3.43,156680000000000,,198700645,,,1987,12,11,2,25,0,47.313,7.161,9,3.7,25.7,2.1,-2,0,Glovelier,10,,,,,,,,,,
KP198712160935,47.511252,7.661571,9.603,616795,262302,-9603,1987,12,16,9,36,0.9,2.8,1,6,86,36,273,54,175,134,21,236,28,,,,,,,,,,,,,,,,DDR-NW0,A,1,OT,0.4,FM,2.7,12589000000000,,198700650,,,1987,12,16,9,36,0,47.521,7.675,9,2.7,3.5,1.5,0.6,0.1,Pratteln,10,28,,,,,,,,,
KP198712311516,47.513448,7.660087,11.587,616683,262546,-11587,1987,12,31,15,16,11.1,1.2,0,53,40,14,312,81,129,13,26,258,41,,,,,,,,,,,,,,,,DDR-NW0,A,1,SS,0.361,FM,1.7,398110000000,,198700668,,,1987,12,31,15,16,0,47.518,7.676,12,1.1,3.3,1.3,-0.4,0.1,Pratteln,14,18,,,,,,,,,
