ID,LAT,LON,DEPTH,X,Y,Z,EX,EY,EZ,YR,MO,DY,HR,MI,SC,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID
KP199607150028,45.952599,6.036565,4.359,491286,89975,-4359,10419.8,8963.2,3168.4,1996,7,15,0,28,50.799,2.4,,,,,,,
KP202212070455,45.908735,6.038653,6.316,491361,85097,-6316,247.7,327.2,1541.3,2022,12,7,4,55,26.69,1.96,,,,,,,
KP198311160028,46.055,6.037,5,491523,101357,-5000,-9,-9,-9,1983,11,16,0,27,58.5,2.6,,,,,,,
KP200506221853,47.843,5.99,5,491561,300170,-5000,-9,-9,-9,2005,6,22,18,53,31.1,1.9,,,,,,,
KP202306060236,46.603864,6.026069,12.495,491777,162377,-12495,606.7,402.3,2027.1,2023,6,6,2,36,24.51,1.94,,,,,,,
KP201712041849,45.961092,6.048597,-0.722,492236,90903,722,336.9,302.8,2333.2,2017,12,4,18,49,0.795,2.09,,,,,,,
KP197809011147,47.057,6.022,2,492376,212749,-2000,-9,-9,-9,1978,9,1,11,46,53.5,1.9,,,,,,,
KP199607150210,45.959147,6.050641,-0.591,492390,90684,591,11178,10098.3,3672.1,1996,7,15,2,11,0.499,1.8,,,,,,,
KP199607300214,45.956,6.056,3,492799,90327,-3000,-9,-9,-9,1996,7,30,2,16,9.7,1.6,,,,,,,
KP200304181454,47.18,6.025,10,492851,226417,-10000,-9,-9,-9,2003,4,18,14,55,9.1,1.9,,,,,,,
KP202507112354,47.151243,6.030291,23.743,493194,223213,-23743,384.2,315.1,464.5,2025,7,11,23,54,58.501,1.73,,,,,,,
KP202109260308,45.763091,6.06655,6.002,493242,68870,-6002,448.3,658.4,1277.5,2021,9,26,3,8,50.211,1.54,,,,,,,
KP198203211220,47.762,6.018,4,493493,291126,-4000,-9,-9,-9,1982,3,21,12,20,5.8,2.9,,,,,,,
KP199607240624,45.945,6.067,1,493631,89089,-1000,-9,-9,-9,1996,7,24,6,24,38.4,1.8,,,,,,,
KP199508020305,45.975,6.067,10,493689,92423,-10000,-9,-9,-9,1995,8,2,3,5,18,2.3,,,,,,,
KP199607291534,45.936,6.069,1,493768,88086,-1000,-9,-9,-9,1996,7,29,15,34,31.5,2.1,,,,,,,
KP198604191947,45.802,6.073,1,493819,73186,-1000,-9,-9,-9,1986,4,19,19,47,5.7,1.9,,,,,,,
KP199607230740,45.945,6.071,1,493941,89084,-1000,-9,-9,-9,1996,7,23,7,40,22.4,1.9,,,,,,,
KP199607150256,45.945,6.073,1,494096,89081,-1000,-9,-9,-9,1996,7,15,2,57,7.5,2.1,,,,,,,
KP199607150644,45.942,6.074,1,494168,88746,-1000,-9,-9,-9,1996,7,15,6,44,11.1,2.2,,,,,,,
KP199607150246,45.929,6.075,3,494220,87300,-3000,-9,-9,-9,1996,7,15,2,46,45.4,2,,,,,,,
KP199608170639,45.942,6.075,1,494245,88745,-1000,-9,-9,-9,1996,8,17,6,40,5.6,2.1,,,,,,,
